contin_Number,EM_series,pre,post,type,sections,partner_Number,post1,post2,post3,post4
98,N2Y,R4BR,"R2BR,PHCR,R8BL,R2BL,R8BR",chemical,8,5,R2BR,PHCR,R8BL,R2BL
99,N2Y,R4BR,"R2BR,PHCR",chemical,1,2,R2BR,PHCR,,
101,N2Y,SPCR,"SPDR,R2BR",chemical,3,2,SPDR,R2BR,,
102,N2Y,R2BR,"PHCR,R8AR",chemical,3,2,PHCR,R8AR,,
104,N2Y,R2BL,"R4BR,R2BR,R8AR,R8BR",chemical,2,4,R4BR,R2BR,R8AR,R8BR
106,N2Y,R2BR,PHCR,chemical,2,1,PHCR,,,
107,N2Y,R2BR,PCBR,chemical,1,1,PCBR,,,
108,N2Y,R2BR,"R8BR,R8AR,PHCR",chemical,3,3,R8BR,R8AR,PHCR,
109,N2Y,PHDR,"PCCR,R2BR,SPDR",chemical,2,3,PCCR,R2BR,SPDR,
110,N2Y,R2BR,"[CA04],PHCR,PVY",chemical,4,3,[CA04],PHCR,PVY,
18781,N2Y,R2BR,"[CA04],PHCR",chemical,7,2,[CA04],PHCR,,
111,N2Y,R2BR,"[CA04],PHCR,PCBR,PVY",chemical,10,4,[CA04],PHCR,PCBR,PVY
18782,N2Y,R2BR,"[CA04],PCBR",chemical,1,2,[CA04],PCBR,,
112,N2Y,R2BR,PVY,chemical,6,1,PVY,PVY,,
113,N2Y,R4BR,"R2BR,PVY",chemical,2,2,R2BR,PVY,,
114,N2Y,PHCR,"PVY,R2BR,PCBR",chemical,2,3,PVY,R2BR,PCBR,PCBR
115,N2Y,PCBR,"R2BR,PVY,PHCR",chemical,3,3,R2BR,PVY,PHCR,PHCR
116,N2Y,R2BR,"PCBR,PVY",chemical,7,2,PCBR,PVY,,
117,N2Y,R2BR,"R4BL,CA05,R4BR",chemical,1,3,R4BL,CA05,R4BR,
118,N2Y,R2BR,"PVY,PCBR,PCAR",chemical,11,3,PVY,PCBR,PCAR,
119,N2Y,PCCL,"SPVR,R2BR",chemical,3,2,SPVR,R2BR,,
