contin_Number,EM_series,pre,post,type,sections,partner_Number,post1,post2,post3,post4
3137,N2Y,R9AR,"EF2,PVV,CP09",chemical,2,3,EF2,PVV,CP09,
3138,N2Y,HOA,"PHBR,AVG",chemical,2,2,PHBR,AVG,,
3139,N2Y,CP06,"DVE,EF3",chemical,2,2,DVE,EF3,,
3140,N2Y,CP05,"EF3,gonad",chemical,4,2,EF3,gonad,,
3141,N2Y,HOA,"HOB,[CP04]",chemical,1,2,HOB,[CP04],,
3142,N2Y,PHBR,"PHCL,HOA",chemical,2,2,PHCL,HOA,,
3143,N2Y,HOA,"PCAL,AVG",chemical,2,2,PCAL,AVG,,
3144,N2Y,HOA,PCAR,chemical,1,1,PCAR,,,
3145,N2Y,HOA,"CA07,PHBR,AVG",chemical,1,3,CA07,PHBR,AVG,
3146,N2Y,HOA,"AVG,PCAR",chemical,2,2,AVG,PCAR,,
3147,N2Y,unk3028,"PHAL,EF3,PHDL",chemical,2,3,PHAL,EF3,PHSONL,
3148,N2Y,PHDL,"EF3,DX3",chemical,2,2,EF3,DX3,,
3150,N2Y,R3BR,EF3,chemical,1,1,EF3,,,
3151,N2Y,PHBL,"EF3,R3BR",chemical,1,2,EF3,R3BR,,
3152,N2Y,R3BR,"PHBL,EF3",chemical,2,2,PHBL,EF3,,
3153,N2Y,HOB,"R3BR,EF3",chemical,4,2,R3BR,EF3,,
3154,N2Y,PHAL,"R3BR,EF3",chemical,4,2,R3BR,EF3,,
3155,N2Y,HOA,[CP01],chemical,2,1,[CP01],,,
3156,N2Y,R8BL,"unk2204,EF3",chemical,3,2,unk2204,EF3,,
3157,N2Y,unk2204,"EF3,R8BL",chemical,2,2,EF3,R8BL,,
3158,N2Y,frag1067[RnBL],EF3,chemical,2,1,EF3,,,
3160,N2Y,R3BR,"AVFR,EF3",chemical,1,2,AN3b,EF3,,
3161,N2Y,HOB,"PCAL,HOA",chemical,2,2,PCAL,HOA,,
3162,N2Y,HOB,"HOA,DX1",chemical,1,2,HOA,DX1,,
3163,N2Y,R9AL,"EF1,EF3",chemical,1,2,EF1,EF3,,
3164,N2Y,PHDL,"EF3,R4BR",chemical,2,2,EF3,R4BR,,
3165,N2Y,PCBL,"CA06,SPCL",chemical,4,2,CA06,SPCL,,
3166,N2Y,PCBL,"DX3,[CP03]",chemical,3,2,DX3,[CP03],,
3167,N2Y,PCBL,"SPCL,PCCL",chemical,1,2,SPCL,PCCL,,
3168,N2Y,PCBL,SPCL,chemical,1,1,SPCL,,,
3169,N2Y,PCBL,"SPCL,PCCL",chemical,3,2,SPCL,PCCL,,
3170,N2Y,DVF,"SPCL,PCCL",chemical,3,2,SPCL,PCCL,,
3171,N2Y,SPCL,"CP05,CP06",chemical,2,2,CP05,CP06,,
3172,N2Y,DX3,"SPCL,PCCL",chemical,1,2,SPCL,PCCL,,
3173,N2Y,SPCL,gonad,chemical,2,1,gonad,,,
3174,N2Y,SPCL,gonad,chemical,3,1,gonad,,,
3175,N2Y,SPCL,gonad,chemical,1,1,gonad,,,
3176,N2Y,SPCL,"CP06,CP05,gonad",chemical,2,3,CP06,CP05,gonad,
3177,N2Y,SPCL,"PCBL,CA06",chemical,2,2,PCBL,CA06,,
3178,N2Y,CA06,"PCBL,[CP01]",chemical,3,2,PCBL,[CP01],,
3179,N2Y,PCBL,"CA06,PCCL",chemical,3,2,CA06,PCCL,,
3180,N2Y,PCBL,"PCCL,[CP03],R2BL",chemical,2,3,PCCL,[CP03],R2BL,
3181,N2Y,PCBL,"CP05,gonad",chemical,3,2,CP05,gonad,,
3182,N2Y,PCBL,"CP05,gonad",chemical,6,2,CP05,gonad,,
3183,N2Y,PCCR,"PCBL,gonad",chemical,1,2,PCBL,gonad,,
3184,N2Y,PCCL,"SPVR,PCCR",chemical,1,2,SPVR,PCCR,,
3185,N2Y,PCCR,"PCBL,gonad",chemical,1,2,PCBL,gonad,,
3186,N2Y,PCBL,"unk4133,[CP03],PCAL",chemical,7,3,unk4133,[CP03],PCAL,
3187,N2Y,PCBL,"CP05,gonad,PCCR",chemical,6,3,CP05,gonad,PCCR,
3188,N2Y,PCCR,"PCBL,gonad",chemical,1,2,PCBL,gonad,,
3190,N2Y,PCCR,"PCBL,gonad",chemical,3,2,PCBL,gonad,,
3191,N2Y,PCCL,gonad,chemical,1,1,gonad,,,
3192,N2Y,PCCL,gonad,chemical,3,1,gonad,,,
18785,N2Y,PCCL,gonad,chemical,6,1,gonad,,,
3194,N2Y,PCCL,gonad,chemical,1,1,gonad,,,
3196,N2Y,PCCL,gonad,chemical,7,1,gonad,,,
3195,N2Y,PCAL,AVG,chemical,1,1,AVG,,,
18784,N2Y,PCCL,gonad,chemical,1,1,gonad,,,
3197,N2Y,PCBL,HOB,chemical,1,1,HOB,,,
3198,N2Y,PCCL,gonad,chemical,4,1,gonad,,,
3200,N2Y,PCCL,gonad,chemical,1,1,gonad,,,
3201,N2Y,PCCL,SPCL,chemical,3,1,SPCL,,,
3202,N2Y,PCCL,gonad,chemical,1,1,gonad,,,
3203,N2Y,PCCL,gonad,chemical,2,1,gonad,,,
3204,N2Y,PCCL,gonad,chemical,4,1,gonad,,,
3206,N2Y,PCCL,gonad,chemical,11,1,gonad,,,
3207,N2Y,PCCL,gonad,chemical,3,1,gonad,,,
3208,N2Y,PCAL,"unk2581[EFn],PVX",chemical,3,2,unk2581[EFn],PVX,,
3209,N2Y,PCCL,gonad,chemical,4,1,gonad,,,
3210,N2Y,PCCL,gonad,chemical,3,1,gonad,,,
3211,N2Y,PCCL,gonad,chemical,4,1,gonad,,,
3212,N2Y,PCAL,"[CP01],[CP02]",chemical,2,2,[CP01],[CP02],,
3213,N2Y,DX3,"PCAL,R9AL",chemical,5,2,PCAL,R9AL,,
3214,N2Y,HOB,"[CP01],PCAL",chemical,1,2,[CP01],PCAL,,
3215,N2Y,HOB,PCAL,chemical,6,1,PCAL,,,
3218,N2Y,R8AL,"PCAL,[CP02]",chemical,1,2,PCAL,[CP02],,
3219,N2Y,DX3,"DX1,PCAL",chemical,3,2,DX1,PCAL,,
3220,N2Y,CA05,"SPCL,PCCL",chemical,2,2,SPCL,PCCL,,
3221,N2Y,PCCL,gonad,chemical,3,1,gonad,,,
3222,N2Y,PCCL,gonad,chemical,1,1,gonad,,,
3223,N2Y,PCCL,gonad,chemical,5,1,gonad,,,
3224,N2Y,PCCL,gonad,chemical,5,1,gonad,,,
3225,N2Y,PCCL,gonad,chemical,2,1,gonad,,,
3226,N2Y,PCCL,gonad,chemical,3,1,gonad,,,
3227,N2Y,PCAL,"CA06,PCBL",chemical,1,2,CA06,PCBL,,
3229,N2Y,PCCL,gonad,chemical,2,1,gonad,,,
3230,N2Y,PCCL,gonad,chemical,1,1,gonad,,,
3231,N2Y,PCCL,"CA05,gonad",chemical,1,2,CA05,gonad,,
3232,N2Y,PCCL,gonad,chemical,3,1,gonad,,,
3233,N2Y,SPCL,PCCL,chemical,2,1,PCCL,,,
3234,N2Y,PCCL,"SPCR,CP06",chemical,2,2,SPCR,CP06,,
3235,N2Y,PCCR,gonad,chemical,3,1,gonad,,,
3236,N2Y,PCCR,gonad,chemical,3,1,gonad,,,
3237,N2Y,PCCR,gonad,chemical,7,1,gonad,,,
3238,N2Y,PCCR,gonad,chemical,7,1,gonad,,,
3239,N2Y,PCCR,gonad,chemical,1,1,gonad,,,
3240,N2Y,PCCR,gonad,chemical,5,1,gonad,,,
3242,N2Y,PCCR,"gonad,[CP04],PCBL",chemical,6,3,gonad,[CP04],PCBL,
3243,N2Y,PCCR,gonad,chemical,1,1,gonad,,,
3244,N2Y,PCBR,"PCCR,CA06",chemical,2,2,PCCR,CA06,,
3245,N2Y,PCCR,"PCBL,gonad",chemical,1,2,PCBL,gonad,,
3247,N2Y,PCCR,gonad,chemical,1,1,gonad,,,
3248,N2Y,PCBR,"[CP04],PVZ,HOA",chemical,3,3,[CP04],PVZ,HOA,
3249,N2Y,PCBR,"CA05,[CP04]",chemical,1,2,CA05,[CP04],,
3250,N2Y,PCBR,CA05,chemical,1,1,CA05,,,
3251,N2Y,PCCR,gonad,chemical,5,1,gonad,,,
3252,N2Y,PCCR,gonad,chemical,3,1,gonad,,,
3253,N2Y,PCCR,gonad,chemical,6,1,gonad,,,
3254,N2Y,PCCR,gonad,chemical,4,1,gonad,,,
3255,N2Y,HOB,"PCBR,SPCR",chemical,1,2,PCBR,SPCR,,
3256,N2Y,PCCR,gonad,chemical,1,1,gonad,,,
3257,N2Y,PCCR,gonad,chemical,2,1,gonad,,,
3258,N2Y,PCCR,gonad,chemical,4,1,gonad,,,
3259,N2Y,PCCR,gonad,chemical,1,1,gonad,,,
3260,N2Y,PCCR,gonad,chemical,3,1,gonad,,,
3261,N2Y,PCCR,gonad,chemical,9,1,gonad,,,
3262,N2Y,PCAR,"PCBR,CA06",chemical,2,2,PCBR,CA06,,
3263,N2Y,CA06,"PCAR,PCBR",chemical,2,2,PCAR,PCBR,,
3264,N2Y,PCAR,"PCBR,CA06",chemical,3,2,PCBR,CA06,,
3265,N2Y,PCCR,gonad,chemical,1,1,gonad,,,
3266,N2Y,PCCR,gonad,chemical,3,1,gonad,,,
3267,N2Y,PCCR,gonad,chemical,2,1,gonad,,,
3268,N2Y,PCCR,gonad,chemical,1,1,gonad,,,
3269,N2Y,PCCR,gonad,chemical,6,1,gonad,,,
3270,N2Y,PCCR,gonad,chemical,4,1,gonad,,,
3271,N2Y,PCCR,gonad,chemical,3,1,gonad,,,
3272,N2Y,PCCR,gonad,chemical,8,1,gonad,,,
3273,N2Y,PCCR,gonad,chemical,5,1,gonad,,,
3274,N2Y,PCCR,"HOB,PCBR",chemical,1,2,HOB,PCBR,,
3275,N2Y,PCAR,AVAL,chemical,1,1,AVAL,,,
3276,N2Y,CA06,"CP06,PCCR",chemical,1,2,CP06,PCCR,,
3277,N2Y,HOB,"PCAR,PVY,CA05",chemical,4,3,PCAR,PVY,CA05,
3278,N2Y,PCAR,"PVY,PCBR,CA06,CA05,HOB",chemical,2,5,PVY,PCBR,CA06,CA05
3279,N2Y,DX2,PCAR,chemical,3,1,PCAR,,,
3280,N2Y,PCAR,"PCBR,CA06",chemical,1,2,PCBR,CA06,,
3281,N2Y,CA06,"PCAR,PCBR",chemical,1,2,PCAR,PCBR,,
3282,N2Y,DX2,"PCAR,PVZ",chemical,7,2,PCAR,PVZ,,
3283,N2Y,DX2,PCAR,chemical,1,1,PCAR,,,
3284,N2Y,DX2,PCAR,chemical,1,1,PCAR,,,
3285,N2Y,PCAR,"PCBR,CA06,HOB",chemical,1,3,PCBR,CA06,HOB,
3286,N2Y,HOB,"PCAR,CA06,R9AR",chemical,3,3,PCAR,CA06,R9AR,
3287,N2Y,PHAR,PVQR,chemical,1,1,PVQR,,,
3288,N2Y,PHAR,ailR,chemical,3,1,ailR,,,
3289,N2Y,PHAR,"EF1,PHBR",chemical,6,2,EF1,PHBR,,
3290,N2Y,PHAR,"EF1,PHBR",chemical,2,2,EF1,PHBR,,
3291,N2Y,PHAR,DVA,chemical,1,1,DVA,,,
3292,N2Y,PHAR,"unknown100,EF2",chemical,5,2,unknown100,EF2,,
3293,N2Y,PHAR,"DVA,EF2",chemical,1,2,DVA,EF2,,
3294,N2Y,PHAR,DVA,chemical,4,1,DVA,,,
3295,N2Y,PVCL,"VB11,DB06",chemical,1,2,VB11,DB06,,
3296,N2Y,PDER,"DB06,PVCL",chemical,1,2,DB06,PVCL,,
3297,N2Y,PVCL,"VB11,DB06,DA07",chemical,1,3,VB11,DB06,DA07,
3298,N2Y,PVCL,"DB06,DB07,DA08",chemical,1,3,DB06,DB07,DA08,
3299,N2Y,PHBR,PDB,chemical,2,1,PDB,,,
3300,N2Y,PHBR,EF2,chemical,1,1,EF2,,,
3301,N2Y,VA12,"VB10,DB07,PVCL",chemical,2,3,VB10,DB07,PVCL,
3302,N2Y,PHBR,"DVE,PDB",chemical,3,2,DVE,PDB,,
3303,N2Y,VA12,"DB07,PVCL",chemical,1,2,DB07,PVCL,,
3304,N2Y,VA12,"VD13,DB06,DB07,PVCL",chemical,1,4,VD13,DB06,DB07,PVCL
3305,N2Y,PVCL,"VB11,DB07",chemical,1,2,VB11,DB07,,
3306,N2Y,VA12,"DB07,PVCL",chemical,2,2,DB07,PVCL,,
3307,N2Y,AVAL,"AS11,PVCL",chemical,1,2,AS11,PVCL,,
3308,N2Y,AS11,"PVCL,AVAL,R3AL",chemical,1,3,PVCL,AVAL,R3AL,
3309,N2Y,PHBR,"PHAR,EF1",chemical,1,2,PHAR,EF1,,
3310,N2Y,unk807[RnBR],"PVCL,AVFR,R5BR",chemical,1,3,PVCL,AN3b,R5BR,
3311,N2Y,PHBR,DVE,chemical,1,1,DVE,,,
3312,N2Y,PHBR,"PVY,R3BR,DVE",chemical,3,3,PVY,R3BR,DVE,
3313,N2Y,PHBR,"PHCL,PVY",chemical,1,2,PHCL,PVY,,
3314,N2Y,PQR,"VA11,VA12,PVWL",chemical,1,3,VA11,VA12,PVWL,
3315,N2Y,PQR,"PVU,PVNR",chemical,2,2,PVU,PVNR,,
3316,N2Y,PQR,"AVAL,AVDL",chemical,1,2,AVAL,AVDL,,
3317,N2Y,PQR,"AVDR,AVAL",chemical,3,2,AVDR,AVAL,,
3318,N2Y,PVQR,"PDA,VD13",chemical,1,2,PDA,VD13,,
3319,N2Y,PQR,PVWL,chemical,2,1,PVWL,,,
3320,N2Y,HOA,R2AL,chemical,1,1,R2AL,,,
3321,N2Y,PHBR,"DVE,PVQL",chemical,1,2,DVE,PVQL,,
3322,N2Y,PVCR,"VB11,DB06",chemical,1,2,VB11,DB06,,
3323,N2Y,PVCR,"VB11,DB06",chemical,1,2,VB11,DB06,,
3324,N2Y,PVCR,"VB11,DB06",chemical,2,2,VB11,DB06,,
3325,N2Y,VA12,"DA09,PVCR",chemical,1,2,DA09,PVCR,,
3326,N2Y,VA12,"DA09,PVCR",chemical,1,2,DA09,PVCR,,
3327,N2Y,VA12,"VB11,PVCR",chemical,1,2,VB11,PVCR,,
3328,N2Y,VA12,"PVCR,DB07",chemical,6,2,PVCR,DB07,,
3329,N2Y,VA12,"PVCR,DB07,DA08",chemical,2,3,PVCR,DB07,DA08,
3330,N2Y,PVCR,"DB07,DA08",chemical,3,2,DB07,DA08,,
3331,N2Y,PVR ,"DA08,DB06",chemical,3,2,DA08,DB06,,
3332,N2Y,PDER,"VB11,PVR ",chemical,1,2,VB11,PVR ,,
3333,N2Y,PDEL,"PVR ,DVA",chemical,2,2,PVR ,DVA,,
3334,N2Y,unknown100,"PVR ,DB07,PDB",chemical,5,3,PVR ,DB07,PDB,
3335,N2Y,LUAR,"PVR ,DB07",chemical,1,2,PVR ,DB07,,
3336,N2Y,PVNR,"EF2,R2BR",chemical,3,2,EF2,R2BR,,
3337,N2Y,PVNR,"PVS,[AVL]",chemical,2,2,PVS,[AVL],,
3338,N2Y,PVNR,"AVFR,PVY",chemical,2,2,AN3b,PVY,,
3339,N2Y,PVNR,"[AVL],PVU",chemical,1,2,[AVL],PVU,,
3340,N2Y,[AVL],PVNR,chemical,1,1,PVNR,,,
3341,N2Y,PVNR,"[AVL],DVE",chemical,2,2,[AVL],DVE,,
3343,N2Y,DVF,"SPCL,HOB,PCBL",chemical,6,3,SPCL,HOB,PCBL,
3344,N2Y,DVE,"DVF,DVC",chemical,1,2,DVF,DVC,,
3345,N2Y,[CP02],"DVF,[CP03]",chemical,2,2,DVF,[CP03],,
3346,N2Y,DVE,"DVF,[AVL]",chemical,2,2,DVF,[AVL],,
3347,N2Y,DVF,"[AVL],DVE",chemical,1,2,[AVL],DVE,,
3348,N2Y,DVE,CP05,chemical,1,1,CP05,,,
3349,N2Y,DVE,"EF3,CP05",chemical,2,2,EF3,CP05,,
3350,N2Y,DVF,HOB,chemical,1,1,HOB,,,
3351,N2Y,DVF,"SPCL,HOB",chemical,2,2,SPCL,HOB,,
3352,N2Y,DVE,gonad,chemical,1,1,gonad,,,
3353,N2Y,DVE,"CP07,CP05",chemical,3,2,CP07,CP05,,
3354,N2Y,DVF,"CP05,SPCL,HOB",chemical,4,3,CP05,SPCL,HOB,
3355,N2Y,DVF,"CP05,SPCL,HOB",chemical,1,3,CP05,SPCL,HOB,
3356,N2Y,DVF,"CP05,SPCL,HOB",chemical,1,3,CP05,SPCL,HOB,
3357,N2Y,CP09,"SPVR,DVE",chemical,1,2,SPVR,DVE,,
3358,N2Y,DVF,CP06,chemical,2,1,CP06,,,
3359,N2Y,DVE,unk4349,chemical,3,1,unk4349,,,
3360,N2Y,[CA04],R4AR,chemical,2,1,R4AR,,,
3361,N2Y,DVE,PCAL,chemical,2,1,PCAL,,,
3362,N2Y,DVE,"EF2,EF1",chemical,6,2,EF2,EF1,,
3363,N2Y,PHBR,"PVQR,DVE,AVG",chemical,2,3,PVQR,DVE,AVG,
3364,N2Y,DVF,DVB,chemical,1,1,DVB,,,
3366,N2Y,DVF,SPVR,chemical,1,1,SPVR,,,
3368,N2Y,PGA,"unk2980,DVE",chemical,1,2,unk2980,DVE,,
3369,N2Y,DVF,"VD12,CP08",chemical,2,2,VD12,CP08,,
3370,N2Y,DVE,"CP05,[AVL]",chemical,4,2,CP05,[AVL],,
3371,N2Y,CP06,"DVF,CP05",chemical,1,2,DVF,CP05,,
3372,N2Y,DVF,"CP06,PVQL",chemical,1,2,CP06,PVQL,,
3373,N2Y,DVF,"PVQR,AVHL",chemical,2,2,PVQR,AN1a,,
3374,N2Y,DVF,CP05,chemical,1,1,CP05,,,
3375,N2Y,DVF,"DVB,PVQR",chemical,1,2,DVB,PVQR,,
3376,N2Y,DVF,CP06,chemical,1,1,CP06,,,
3377,N2Y,DX1,"PCAL,unk2581[EFn]",chemical,2,2,PCAL,unk2581[EFn],,
3378,N2Y,DX1,PCAL,chemical,2,1,PCAL,,,
3379,N2Y,DX1,"HOA,PCAL",chemical,2,2,HOA,PCAL,,
3380,N2Y,DX1,PHAL,chemical,1,1,PHAL,,,
3381,N2Y,DX1,"PCAL,unk2581[EFn]",chemical,3,2,PCAL,unk2581[EFn],,
3382,N2Y,[CP02],"PCAL,DX1",chemical,1,2,PCAL,DX1,,
3383,N2Y,DX1,PCAL,chemical,1,1,PCAL,,,
3384,N2Y,DX1,"HOA,PCAL",chemical,9,2,HOA,PCAL,,
3385,N2Y,DX1,"PCAL,R9AL",chemical,1,2,PCAL,R9AL,,
3386,N2Y,PHBL,DX1,chemical,1,1,DX1,,,
3387,N2Y,DX1,"PCAL,HOA",chemical,3,2,PCAL,HOA,,
3388,N2Y,DX2,HOA,chemical,1,1,HOA,,,
3389,N2Y,DX2,"PVZ,HOA",chemical,1,2,PVZ,HOA,,
3390,N2Y,PGA,"R3BR,unk228[EFn],PVNL,unk2581[EFn]",chemical,4,4,R3BR,unk228[EFn],PVNL,unk2581[EFn]
3391,N2Y,PGA,[CP01],chemical,1,1,[CP01],,,
3392,N2Y,PHDL,"[CP01],PGA",chemical,3,2,[CP01],PGA,,
3393,N2Y,DX2,"PVZ,HOB",chemical,1,2,PVZ,HOB,,
3395,N2Y,DX2,"PVV,PCAR",chemical,2,2,PVV,PCAR,,
3396,N2Y,DX2,"PCAR,HOB",chemical,1,2,PCAR,HOB,,
3397,N2Y,DX2,"R3BL,HOA",chemical,2,2,R3BL,HOA,,
3398,N2Y,DX2,DX2,chemical,1,1,DX2,,,
3399,N2Y,DX2,"PCAR,HOB,PVV",chemical,3,3,PCAR,HOB,PVV,
3400,N2Y,DX2,"R3BL,PVV,PCAR",chemical,5,3,R3BL,PVV,PCAR,
3401,N2Y,DX2,PVV,chemical,2,1,PVV,,,
3402,N2Y,SPCL,"CA06,DX3",chemical,2,2,CA06,DX3,,
3403,N2Y,SPCL,gonad,chemical,4,1,gonad,,,
3404,N2Y,DX3,PCAL,chemical,1,1,PCAL,,,
3405,N2Y,DX3,PCAL,chemical,2,1,PCAL,,,
3406,N2Y,HOB,"DX3,HOA",chemical,1,2,DX3,HOA,,
3407,N2Y,DX3,"DX1,PCAL",chemical,4,2,DX1,PCAL,,
3408,N2Y,PHBL,DX3,chemical,3,1,DX3,,,
3409,N2Y,DX3,"HOA,PCAL",chemical,1,2,HOA,PCAL,,
3410,N2Y,DX3,"EF3,R3BR",chemical,2,2,EF3,R3BR,,
3411,N2Y,DX3,"R3BR,EF3,PDB",chemical,2,3,R3BR,EF3,PDB,
3412,N2Y,R7AR,PGA,chemical,2,1,PGA,,,
3413,N2Y,R1BR,"DA09,PVS,DVA",chemical,6,3,DA09,PVS,DVA,
3414,N2Y,AVAL,"DA07,VA10,DA08",chemical,3,3,DA07,VA10,DA08,
3415,N2Y,AVAL,"DA07,VA10",chemical,2,2,DA07,VA10,,
3416,N2Y,AVDL,"AVAR,VA10,DA08,AVAL",chemical,1,4,AVAR,VA10,DA08,AVAL
3417,N2Y,[CP02],"[CP01],vBWMR21",chemical,2,2,[CP01],vBWMR21,,
3418,N2Y,[CP01],"vBWMR21,[CP02]",chemical,2,2,vBWMR21,[CP02],,
3420,N2Y,AVAL,"VB06,DA07,AS10",chemical,1,3,VB06,DA07,AS10,
3421,N2Y,PVNL,"AVDR,AVAL",chemical,1,2,AVDR,AVAL,,
3422,N2Y,AVAL,"VA10,VB06,AS10",chemical,3,3,VA10,VB06,AS10,
3423,N2Y,AVAL,"VA10,VB06,AS10",chemical,2,3,VA10,VB06,AS10,
3424,N2Y,AVDR,"AVAL,R1AL",chemical,1,2,AVAL,R1AL,,
3425,N2Y,[CP02],"[CP01],[dglR2]",chemical,1,2,[CP01],[dglR2],,
3426,N2Y,[CP01],"[dglR2],[CP02]",chemical,3,2,[dglR2],[CP02],,
3427,N2Y,AVAL,"VB11,PVY",chemical,1,2,VB11,PVY,,
3428,N2Y,[CP01],"[dglR2],[CP02]",chemical,3,2,[dglR2],[CP02],,
3429,N2Y,AVAL,"AVAR,VB06,VA11",chemical,1,3,AVAR,VB06,VA11,
3430,N2Y,AVAL,"AS11,VA11,AVAR",chemical,3,3,AS11,VA11,AVAR,
3431,N2Y,AVAL,"AS11,VA11",chemical,2,2,AS11,VA11,,
3432,N2Y,AVAL,"AS11,VA11",chemical,2,2,AS11,VA11,,
3433,N2Y,AVAL,"AS11,VA11",chemical,3,2,AS11,VA11,,
3434,N2Y,AVAL,"AS11,VA11",chemical,1,2,AS11,VA11,,
3435,N2Y,AVDR,"AVAL,AS11",chemical,1,2,AVAL,AS11,,
3436,N2Y,AVAL,"AS11,AVDR",chemical,1,2,AS11,AVDR,,
3437,N2Y,AVAL,"unk3365,VA11",chemical,1,2,unk3365,VA11,,
3438,N2Y,AVAL,"AS11,unk3365",chemical,1,2,AS11,unk3365,,
3439,N2Y,AVAL,"AS11,unk4426,VA11,unk3367",chemical,3,4,AS11,unk4426,VA11,unk3367
3440,N2Y,PVV,"AVAL,R1AL",chemical,2,2,AVAL,R1AL,,
3441,N2Y,AVAL,"AS11,unk3367,AVAR,VA11",chemical,2,4,AS11,unk3367,AVAR,VA11
3442,N2Y,AVAL,"AS11,DA09,VA11,AVAR",chemical,2,4,AS11,DA09,VA11,AVAR
3443,N2Y,AVAL,"AS11,R3AR",chemical,1,2,AS11,R3AR,,
3444,N2Y,AVAL,"AVAR,VA11",chemical,1,2,AVAR,VA11,,
3445,N2Y,AVAL,"VA11,AS11",chemical,2,2,VA11,AS11,,
3446,N2Y,AVAL,"DA09,R3AL",chemical,1,2,DA09,R3AL,,
3447,N2Y,AVDL,AVAL,chemical,1,1,AVAL,,,
3448,N2Y,AVAL,"VA11,AS11",chemical,2,2,VA11,AS11,,
3449,N2Y,AVAL,"VA11,AS11,R3AL",chemical,2,3,VA11,AS11,R3AL,
3450,N2Y,VA12,"VB11,DB07,AVAL",chemical,6,3,VB11,DB07,AVAL,
3451,N2Y,CA06,[CP01],chemical,1,1,[CP01],,,
3452,N2Y,R3BR,"AVAL,R3AR",chemical,4,2,AVAL,R3AR,,
3453,N2Y,R3BR,"AVAL,DB07",chemical,8,2,AVAL,DB07,,
3454,N2Y,CP06,[CP01],chemical,1,1,[CP01],,,
3455,N2Y,CP06,[CP01],chemical,1,1,[CP01],,,
3456,N2Y,[CP01],"ailR,CA06",chemical,2,2,ailR,CA06,,
3457,N2Y,[CP01],"ailR,CA05",chemical,2,2,ailR,CA05,,
3458,N2Y,[CP01],"ailL,[CP03]",chemical,3,2,ailL,[CP03],,
3459,N2Y,[CP01],"ailL,[CP03]",chemical,2,2,ailL,[CP03],,
3460,N2Y,[CP01],"[vBWMR23],[CP02]",chemical,5,2,[vBWMR23],[CP02],,
3461,N2Y,CP06,"gonad,CP05",chemical,2,2,gonad,CP05,,
3462,N2Y,CP06,"gonad,ailR,[CP01]",chemical,4,3,gonad,ailR,[CP01],
3463,N2Y,CP05,"ailR,CP06,[CP01]",chemical,3,3,ailR,CP06,[CP01],
3464,N2Y,CP06,"[CP01],intR,ailL,[CP03]",chemical,2,4,[CP01],intR,ailL,[CP03]
3465,N2Y,CP06,ailL,chemical,2,1,ailL,,,
3466,N2Y,CP06,"ailL,[CP04]",chemical,2,2,ailL,[CP04],,
3467,N2Y,CP06,gonad,chemical,4,1,gonad,,,
3468,N2Y,CP06,gonad,chemical,4,1,gonad,,,
3469,N2Y,SPCL,CP06,chemical,3,1,CP06,,,
3470,N2Y,CP06,gonad,chemical,2,1,gonad,,,
3471,N2Y,CP06,gonad,chemical,1,1,gonad,,,
3472,N2Y,CP06,"gonad,PCCL",chemical,2,2,gonad,PCCL,,
3473,N2Y,CP06,"gonad,PCCL",chemical,3,2,gonad,PCCL,,
3474,N2Y,[CP03],[vBWML21],chemical,2,1,[vBWML21],,,
3475,N2Y,[CP03],"[vBWML22],[CP04]",chemical,1,2,[vBWML22],[CP04],,
3476,N2Y,[CP03],[vBWML22],chemical,1,1,[vBWML22],,,
3477,N2Y,[CP03],"[vBWMR21],SPDR",chemical,2,2,[vBWMR21],SPDR,,
3478,N2Y,CA05,"[CP03],SPDL",chemical,1,2,[CP03],SPDL,,
3479,N2Y,[CP02],"[CP03],vBWMR21",chemical,3,2,[CP03],vBWMR21,,
3480,N2Y,[CP03],"vBWMR21,[CP02]",chemical,2,2,vBWMR21,[CP02],,
3481,N2Y,[CP02],"[CP03],vBWMR21,[vBWML22]",chemical,2,3,[CP03],vBWMR21,[vBWML22],
3482,N2Y,[CP02],"[CP03],[CP04]",chemical,1,2,[CP03],[CP04],,
3483,N2Y,CA06,"[CP02],[CP03],[CP04]",chemical,2,3,[CP02],[CP03],[CP04],
3484,N2Y,[CP02],"ailR,[CP03],unk3856",chemical,4,3,ailR,[CP03],unk3856,
3485,N2Y,[CP03],"unk3856,[CP02],ailR",chemical,1,3,unk3856,[CP02],ailR,
3486,N2Y,[CP03],"ailL,[CP02]",chemical,3,2,ailL,[CP02],,
3487,N2Y,[CP03],"ailL,[CP02]",chemical,1,2,ailL,[CP02],,
3488,N2Y,[CP03],"ailL,[CP04]",chemical,2,2,ailL,[CP04],,
3489,N2Y,[CP04],"[CP03],ailR",chemical,1,2,[CP03],ailR,,
3491,N2Y,[CP03],ailR,chemical,1,1,ailR,,,
3492,N2Y,[CP03],"ailR,[CP04]",chemical,1,2,ailR,[CP04],,
3493,N2Y,[CP02],"intL,[CP03]",chemical,2,2,intL,[CP03],,
3494,N2Y,PHCL,[CP03],chemical,1,1,[CP03],,,
3495,N2Y,PHCL,"R8AL,[CP03]",chemical,2,2,R8AL,[CP03],,
3496,N2Y,[CP02],ailR,chemical,1,1,ailR,,,
3497,N2Y,[CP02],"ailR,SPDR",chemical,1,2,ailR,SPDR,,
3498,N2Y,PHCL,"PCBL,[CP02]",chemical,2,2,PCBL,[CP02],,
3499,N2Y,CA05,"R7BL,PVX",chemical,1,2,R7BL,PVX,,
