,AS10,AS11,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVFL,AVFR,AVG,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CA04,CA05,CA06,CA07,CA08,CA09,CP01,CP02,CP03,CP04,CP05,CP06,CP07,CP08,CP09,DA07,DA08,DA09,DB05,DB06,DB07,DD06,DVA,DVB,DVC,DVE,DVF,DX1,DX2,DX3,EF1,EF2,EF3,HOA,HOB,LUAL,LUAR,PCAL,PCAR,PCBL,PCBR,PCCL,PCCR,PDA,PDB,PDC,PDEL,PDER,PGA,PHAL,PHAR,PHBL,PHBR,PHCL,PHCR,PHDL,PHDR,PQR,PVCL,PVCR,PVDL,PVDR,PVNL,PVNR,PVQL,PVQR,PVR,PVPL,PVPR,PVT,PVV,PVWL,PVWR,PVX,PVY,PVZ,R1AL,R1BL,R1BR,R2AL,R2AR,R2BL,R2BR,R3AL,R3AR,R3BL,R3BR,R4AL,R4AR,R4BL,R4BR,R5AL,R5AR,R5BL,R5BR,R6AL,R6AR,R6BL,R6BR,R7AL,R7AR,R7BL,R7BR,R8AL,R8AR,R8BL,R8BR,R9AL,R9AR,R9BL,R9BR,SPCL,SPCR,SPDL,SPDR,SPVL,SPVR,VA10,VA11,VA12,VB06,VB07,VB08,VB09,VB10,VB11,VD11,VD12,VD13
CA08,575791.9256124971,1158509.3441512554,1644522.561394839,1632681.7537842637,847712.1798585189,812490.8982368466,947980.0697703438,1013537.5961478036,1824587.81572062,1784331.3123432042,3708516.6734125325,871185.5902917946,902507.5887293854,488679.3399700048,485141.306115113,929952.7674219592,495998.67785561347,1078619.3228723025,1468804.491400722,2773024.468043675,1885353.1481007447,1149953.9552301147,0.0,827715.6165867423,1201641.4051803392,1312176.1520356594,1498789.954894582,1598540.840220532,1801283.4050065267,1482798.3883865415,2528051.1478083604,2380398.1207132842,2915930.604227919,744181.3646276721,1571452.2285483687,1665179.7823262734,484807.568777836,717072.9323362227,1140926.4605584727,1583820.521540675,1476575.3552709743,1307560.9205120676,1518482.0434907165,2602329.7329481267,2239372.73840137,760505.1765997587,831735.2862156731,1482977.271598083,2269777.3083605394,2983746.959429415,2609095.990829399,2483991.1064841426,1867946.202490626,953735.4280189113,922813.4314439129,2019476.4129360486,2044029.8505417905,1490501.1216258206,1447111.0184239226,1200077.4950053755,1167267.181479237,1303832.0720004607,3613631.1085782284,2005123.4339458055,733601.049315457,722852.7037518069,1512915.8355508416,1344150.0846029911,1442036.4850629375,1059019.3506816695,1020302.2710631535,2493102.054620753,2324804.6829058775,1014263.672526595,902680.6566101636,1582929.3988397631,1250895.7512803222,1295915.2994201193,754444.3628920582,948863.4068299533,2071375.6383682068,2106856.455553671,1130658.9577991078,1267962.2279468572,1096343.8069527466,1492696.407318459,1752104.143715607,1051024.163582874,4889812.909476572,1131150.880880409,1081815.5707134611,4970860.6979513215,4251628.422127655,3214171.515186978,1284335.1184746444,667864.0109070485,2328659.6100646174,1311528.6369895062,1208594.8695276293,1591108.187937367,1638229.9992134098,1813910.9862886176,1619393.8746189058,1526357.435449797,1868591.5170225063,1419119.5774053687,1255396.0209369608,1023098.6395328651,1118984.965105543,778252.4026101439,987509.8230625648,592562.545471161,1238760.9236731858,970082.9968244636,1378614.7891652738,892502.6210905744,1247251.8680755063,1066868.1171411034,1614821.3120821267,2105020.5035544247,2432089.7871829756,1703094.9489583948,1797771.411832598,964107.7766262714,1155077.017380193,1302430.5118236002,1494270.9887842096,1827887.9834018226,1093263.665600783,970986.2161748438,1162551.381651767,1427290.4700398007,1345601.3177947411,1771186.720122129,1507923.1976614406,764457.292470985,1536155.553203433,1751978.7764207884,1202334.6109794215,481918.2073399548,506095.2699121584,757053.4737756447,1128534.7108745386,1676315.249684443,1071766.2409852298,1151037.9508535739,1107900.0291046803
CA09,787256.340360352,1255318.099169115,1872750.008282966,1813604.8994145908,1083907.5001985978,1100987.5976038354,1191183.0767452973,1258280.0875021254,1845476.116728904,1957530.3298137668,3790040.3129489627,1112301.5492646915,1133756.4957575006,762680.0762494276,783928.294478234,1260899.294866293,747392.8037482862,1305994.741872132,1566483.4428990376,3022920.1211873735,2143447.2088711667,1307878.405285779,827715.6165867423,0.0,1411636.654067375,1592742.130109357,1751106.4794637018,1828800.777217466,1936368.0732751884,1683736.4619122825,2522216.481369358,2396340.890298075,2898828.9889267255,956450.091882424,1758224.5206111292,1837080.7997805325,779705.5442224285,1038531.673506554,1389296.7724886767,1574030.5187440887,1654396.357210047,1456349.2859646752,1704510.817406185,2667538.1342161987,2368262.9456868568,1044434.8688378326,1095441.0020975375,1659322.5726181315,2372610.369746197,2972690.2001590896,2766632.3559085336,2732036.4442709456,2110522.7971378784,1206294.0400032967,1089120.352365476,2229560.8264901517,2271892.414540767,1712895.4846994577,1729777.4043005868,1484072.4663836174,1449588.1714488314,1543436.977396775,3622860.653943217,2400199.2070632754,1088948.537360579,933322.564346913,1618149.6639214037,1503485.99926645,1601899.2257595886,1220911.6599538827,1224822.777768249,2629366.183452981,2436555.276505872,1201828.3106248248,1133930.5327576087,1685110.9670576653,1536695.7903394776,1610819.497205115,999372.0112425725,1178250.0858835394,2182689.133436137,2202948.442525451,1217888.784153514,1517771.1737147563,1440974.6092474966,1687988.2420582178,1866012.1639355337,1262749.0228695723,4889137.789485121,1339727.4752067714,1231303.2552622368,4894634.357820949,4290414.19016333,3257489.4496057667,1526199.7960557723,944678.0814039676,2286186.158152107,1463845.3821228915,1289917.4656753386,1808299.1730440727,1807397.9096391955,2005102.4597286617,1883560.0896109533,1654522.7045755833,1957981.34083343,1714000.4337884514,1552856.6706888096,1200546.3955452756,1290294.2482463093,1050816.7856656488,1220741.1960160392,876495.773199045,1399302.2384121728,1166410.396742332,1543801.879236778,1070940.1313653586,1429496.6257578325,1277402.1034017568,1733439.6581936684,2233791.2973039607,2571655.9865533332,1934298.4065448376,2078945.765994662,1175290.039202986,1364245.2748640643,1505144.9591038867,1698678.1346463545,1985869.3471862804,1246590.0660807476,1245994.8453493877,1424625.3999994565,1595655.7130704988,1579125.0150071327,1933497.037176645,1566276.5056424404,1052958.8302099372,1532471.9508574412,1952952.549424414,1249807.4884491095,784668.4886725296,796300.5812757397,1091615.8787366257,1424513.5744791115,1785839.4034675227,1278167.5499458327,1293970.7179137578,1321253.7032899929
CP01,965565.6990161364,1359378.0243850555,2075565.0263766176,1985039.5953435935,1176683.9423638044,1129563.0967186154,1196705.9325342698,1250541.3424788672,2032762.454218535,2052081.284332662,3911573.970538665,1025817.9955566498,1074042.8527422256,746615.565560618,794981.5912422747,1323044.4766720277,865089.6843492306,1236416.0299056317,1783722.292292249,2141883.168286416,1190807.4837540821,1335549.885927338,1201641.4051803392,1411636.654067375,0.0,826426.6050566668,813641.1987977814,776856.3679417726,1460921.2013587323,1103429.1102912135,2556992.21286769,2570376.382922636,3101317.675465987,1111856.197077911,1770810.1929833088,2053035.039854361,721380.2738713229,1217171.1080612894,1592588.4314057443,1641466.10659843,1875067.6318748186,1222112.3391211212,1352755.8014036696,2231906.0516644632,1584337.3798642019,833091.6847016909,777733.6222742369,1143940.1285746053,2193943.6590271196,3051339.9504518635,2722127.568508023,2420439.207985839,1472971.1924186049,1207076.3581069768,1183372.0076680204,2035933.8246217514,2116383.7448255047,1271142.4763358391,1169334.6656203917,759982.8181605388,1079694.496514851,1512595.6243606217,3634174.9767098827,2520149.286234411,1137007.6139450483,1069245.1559658023,1400729.2112903642,1469944.6668340445,1702534.79811001,1197731.8630967052,1219187.0299587315,2460346.3341483492,2439414.8938537627,1120089.306462967,1239353.3008790587,1798240.1817899554,1678586.761061666,1806826.0688736122,994309.365530613,1197890.6840506848,2245466.2135620904,2205109.6358514903,1339643.765670392,1413862.6433809304,1581139.5834452184,1810557.504299941,1967665.4236720116,1351500.4559039876,5334452.203878836,1381728.6613527648,1377323.4257930047,5045713.411394482,4213437.087303231,2382609.3315426814,1664499.5356360953,874396.2843765942,2585779.5611355845,1744833.8069818474,1552705.899815878,1572025.0348937544,1698923.3283605298,2111694.054071436,1957890.288037807,1553241.870093492,1866863.087039581,1821139.9103961592,1682645.4343102027,1158115.9337541624,1219238.160038478,1014446.284371783,1205277.5700169676,842890.7502701712,1411750.8338445907,1253736.1863331788,1696970.0736327043,1053252.5984682182,1449591.4406706747,1327330.0510475957,1895219.5496105265,2301610.1920468914,2599103.6168704643,1834242.5166143319,1948816.47424963,1096455.5768066752,1383934.4106997221,1318961.2809384186,1704088.9544587117,2011753.1884628306,1359357.5019211702,735175.6374656091,867325.6827081491,1244570.7454163062,1232524.1261983006,1440910.1663502571,1400410.057107115,1104853.0979494045,1924630.9200792324,2067923.5617121388,1547057.3389314928,804578.6305119854,832276.71204865,1207891.1237983056,1612122.6470982318,2135270.165455491,1318568.5307934894,1323553.3142516667,1436930.4168709686
CP02,1075865.969807333,1523593.1662548103,2182432.5147172604,2092434.493863207,1224551.2974273777,1218725.1303051012,1305919.444190652,1352143.8192791957,2183221.799084643,2172830.905687003,3869485.5091086663,1189835.0848975799,1198464.9523987009,855864.6108904715,912070.3018702054,1431700.6332648878,977770.8745555793,1329140.0330616084,1878653.5221492464,2046129.5318662033,1148044.350530165,1483029.2186160465,1312176.1520356594,1592742.130109357,826426.6050566668,0.0,914285.8883435121,969583.9787180742,1572089.50028613,1097737.5108178288,2838148.2926664,2633892.818869584,3165632.864821511,1221434.0439377907,2023556.9210757478,2210792.055725199,830629.3192011765,1326086.233264393,1715226.7157405792,1712505.4689012375,2038631.1884516617,1517798.8883652014,1414016.5415151378,2571724.1622440955,2012068.7189846155,959400.4784154017,1043120.5700653332,1467226.848311419,2526119.5948004583,3347472.3599720215,2940295.2558104685,2496173.651819046,1588600.7746242147,1319919.2691598486,1293241.8861687738,2093021.612656721,2278152.5094852727,1272651.4786952026,1141471.0434919398,978624.266736117,1056258.3987286785,1663115.6210335612,3853183.850629494,2690143.7052267245,1247042.507183346,1178160.2811689058,1525636.9310087457,1630153.667948023,1807288.3277768593,1360284.998469316,1363305.119792433,2665110.8324678186,2479224.750060919,1353387.870362412,1376376.7650969774,1934979.5541031081,1786501.1552063194,1918406.1858028215,1103883.8563398228,1304980.0151966892,2409982.3962718486,2324456.007086251,1489410.0564889866,1543443.624833147,1694876.7644179394,1788894.08369527,2011393.3834474937,1409702.4466278697,5508157.031164696,1494595.564561516,1488552.18014041,5095330.8945931075,4160957.270431571,2480112.6801193776,1774788.9562748377,1017658.5090265962,2783058.9308787286,1818297.789093373,1592115.8453372782,1483742.5681643803,1770793.0565704438,2220538.2898530085,2075029.959669228,1826105.6272118203,1992329.076490849,1953602.9474704529,1792456.7110655343,1288866.6749745933,1352338.5179708349,1126497.376981097,1337520.0731416491,952073.120211024,1585967.6824966443,1400128.202222577,1860185.0463222992,1219465.9013868077,1600333.7550311096,1481705.6087432415,2065566.5451750308,2499171.0766094755,2778311.5010145516,1793716.1053308896,1921009.0774452735,1163629.9838307227,1508508.978018694,1514172.5584439181,1772635.5993414267,2179862.885452303,1529129.5563957205,1024996.173812718,1127659.4466172517,1305853.365888247,1234719.413890506,1511871.0994869517,1378136.2022038698,1213393.9004044025,2047295.5586188028,2221955.5742791067,1648617.9797425035,913827.675841839,940843.766255864,1316547.280391166,1720778.8036910917,2260086.402068359,1429694.6534829854,1470057.0414221918,1562036.803228808
CP03,1266787.9599909666,1711832.7063925003,2369114.891008348,2285142.0619461653,1411315.762980674,1407905.4734783566,1497581.8463137632,1550489.2228753336,2368275.3028907455,2374945.491653876,4166422.974969715,1417024.6845986838,1462563.4628702896,1053825.057456272,1119513.1523152546,1617095.2676797686,1171731.2534654897,1523272.1156315976,2033234.5633476735,2081613.0467660483,1231945.736248592,1716372.2914661376,1498789.954894582,1751106.4794637018,813641.1987977814,914285.8883435121,0.0,1113571.8574162943,1844240.088927836,1353398.997374256,2972879.116737687,2892151.4401417687,3425258.376698952,1412180.7214923874,2165693.9561464605,2407779.571690955,1028589.765766977,1520444.3247156625,1889887.805173105,1914808.8271285568,2187792.1175383255,1683446.534169074,1722990.506407533,2804077.718436628,2170017.7544766585,1233654.6078335214,1254760.995996487,1732901.5318046017,2744095.062440618,3486148.716368661,3102126.808460842,2773603.0020608287,1833656.713905158,1513199.6776475266,1487141.5214985963,2450155.667319799,2576301.8567262106,1456543.541558783,1312704.7578761785,1067863.2954364256,1099990.594860747,1848595.9820563546,4118005.949336089,2867684.955862621,1434303.9454030092,1367740.6597535666,1812406.0827024223,1879599.1894244254,1995044.0075368097,1591064.5197602254,1544458.84795626,2735585.5362198073,2724853.623355365,1476286.2435265933,1534296.6473233425,2131597.017231436,1995546.4542233122,2110218.279388262,1294285.9158341796,1494714.127227871,2581168.1683900445,2554470.1084129075,1679944.7787330647,1806464.9826472388,1894502.3922613568,2099221.640159598,2090383.2132978893,1547609.032678526,5661428.258468633,1678545.1019274862,1677722.7795859613,5373436.266181826,4440492.393607583,2488714.2566558244,1966451.3583979486,1217030.059314552,2955555.715926887,2048834.2421979134,1831556.801960704,1783940.527357486,1899253.9644755211,2393354.47116785,2248079.999393271,2059037.1047939954,2336938.636142849,2109897.9962472855,1991256.9310882147,1382055.6936393776,1450185.5244568484,1324457.823546897,1544903.4078744773,1149275.3112984172,1792740.6581502766,1596803.427004808,2043543.4328834678,1444903.0037509166,1799250.6647021144,1682997.765627442,2231020.302995637,2662029.0887197587,2949982.21778604,2057403.9577759937,2247764.9825682095,1311560.7225308055,1626465.9967714446,1759240.64359249,1985207.01172443,2379686.670102759,1713349.0951219632,1226730.705022874,1244733.3683874058,1241352.2465038055,1348571.3230632497,1615400.7807550984,1401336.0037173636,1411354.3469702029,2221843.4507049816,2426240.345476898,1835821.3632481627,1111788.1224076396,1138804.2128216643,1491869.5412765127,1899194.1425270794,2440007.012161221,1506591.8991400276,1589673.72355769,1725336.5348571113
CP04,1349184.542881187,1770939.4334215843,2473070.601078692,2390779.2489311793,1532264.906287143,1517251.254658272,1602045.0208957444,1656139.0049463054,2470573.6255661673,2484013.83340098,4262059.337789753,1483964.6003582408,1536537.4687659086,1147768.1873135944,1211385.25784959,1717652.3295482686,1280835.2243702463,1499627.0288608626,1946871.4257995668,1881317.5103339178,966790.8043271358,1709045.96393221,1598540.840220532,1828800.777217466,776856.3679417726,969583.9787180742,1113571.8574162943,0.0,1659115.8964725253,1317137.1209638147,2874526.031607165,2859552.7417438733,3365121.9352309685,1502672.4450603665,2247228.846249102,2473742.773516736,1127119.9274589084,1616985.2270929827,1959290.4575460278,1942550.8290352318,2257451.456209356,1487761.2591635394,1663076.2411829822,2545266.5091131423,1962814.5988042613,1323927.448500808,1242418.5324328586,1639172.4441333509,2467009.3027699087,3426310.5329866433,2951247.6079137023,2864584.7429692037,1698471.0722465983,1612063.7217555055,1585571.1821510317,2476359.678665515,2581024.040812747,1487325.180207891,1357601.7352307562,1062608.282080557,1028838.8182641901,1901646.1300872026,3974055.1035345164,2951282.775922346,1531669.9969365243,1464415.1617421384,1837679.763680669,1926638.4679352983,1979235.478412151,1652079.1931006708,1562404.8508269617,2881818.6087606614,2668178.865950821,1625077.0410118636,1571916.8953842467,2207403.9629493044,2092495.364891202,2209025.243356622,1399014.4642884969,1604442.1498827501,2645677.5121805565,2615344.540693635,1699552.9074936123,1764743.74005471,1978236.6693796995,2133233.36687375,2161098.8316098633,1594276.9113538295,5629368.728565481,1776745.6416810667,1769611.0447781542,5432294.005453776,4357110.311248671,2421014.1500493204,2070462.5206862835,1306849.888619954,2993259.1848700913,2148436.8254952836,1942066.7128907507,1905680.0404334283,1810440.5802693588,2503799.4633893133,2350818.526136957,2036775.8007683523,2371446.8904800066,2238321.3209656505,1988336.803165707,1501678.1400084211,1497994.2623272934,1418243.9699614993,1610101.094625402,1245794.4372319514,1879204.9480360604,1694363.1614096013,2115995.5699932803,1533249.439198399,1843799.7368549954,1735227.569781674,2216542.3421076112,2722020.523670894,2912431.266566754,2156145.471927192,2292378.6264304128,1541966.019199986,1722583.8292763522,1886250.1673563411,2035791.7670460858,2378182.070237282,1769357.3571978624,1254427.513190279,1080932.130985875,1466467.3778250222,1195202.3655174864,1478182.7713840194,1459501.5849511372,1509884.508662135,2324926.076147713,2511520.104991669,1953200.5537793254,1210318.2840995712,1237334.374513596,1595221.2994893575,1999351.0539674892,2539485.4196743416,1628601.6195893919,1714548.8986263645,1776467.1840648153
CP05,1596108.091314229,1946963.684170349,2730473.527491898,2639380.118724006,1845054.3933456484,1800661.6166274396,1861290.322556612,1916945.2239189746,2638591.158403944,2685611.015024313,4190179.695404395,1625268.7671010338,1757721.5877214442,1392953.0031657554,1433839.579438141,1974775.3632349106,1519791.533387388,1607844.8659594494,2361731.0120611177,2611536.440087252,1639226.5179246436,1846360.3729354388,1801283.4050065267,1936368.0732751884,1460921.2013587323,1572089.50028613,1844240.088927836,1659115.8964725253,0.0,1202890.1909698206,2808937.2952417824,2963979.9315348314,3626738.0398210995,1751137.7812006325,2287356.1814306523,2710544.1473510056,1386150.893408213,1866855.2802373623,2208932.076155327,2076881.708355549,2501065.741897084,1564739.645116502,1658813.1430844401,2120038.086378254,1903383.965804894,1570501.7915332695,1496827.8150779651,1736906.2617712195,2333933.6870496618,3088203.0694274697,2767228.1780188764,2938934.2396699763,1477582.7648450912,1873015.5985300958,1848365.086840455,2576918.874597341,2804683.8597429907,1906328.40701919,1988284.7708867681,1578427.888488185,1695540.696478836,1856425.927495203,3596775.3846324612,3074976.4996720464,1789717.3477960366,1715156.5475498582,1965713.5246224306,2128576.597274874,2102856.31859283,1810435.4176391405,1720907.552938639,3313842.4412877024,3153697.549488651,1765196.8676553834,1850359.9251607,2446309.1706508077,2343055.5622370755,2460288.6151568172,1654952.5677773023,1848722.8815175965,2808678.8580181757,2589172.847568912,1939871.602528661,1917074.0142162887,2218190.4391055303,2424441.7188993427,2536640.2720055697,1743901.7472822315,5690766.931102151,2036600.438793957,1979687.416184184,5437903.584048644,4734292.733609558,2841905.623749802,2301764.6234843894,1556899.9416792598,3077182.9740035953,2316286.72944803,2138138.6867969073,2279008.896207947,2173604.272611426,2755191.8940484086,2617933.9110131855,1860715.1321062227,2366767.5544108883,2512344.015015821,2333918.1867951592,1811182.9512624284,1846018.8539109142,1679216.903908673,1852430.3193039952,1507661.3698070608,2006179.9702845807,1871746.2809505002,2236978.6977568455,1689832.2609800254,2019591.7727762726,1979653.7452741852,2445548.675511067,2825933.3873002715,3157799.384559537,2583232.843735466,2605177.195764747,1766061.5777920308,1985591.2931753816,1963324.6107382881,2274288.263605084,2374940.0874261307,1856415.458387442,1360919.4674666873,1454156.4827786754,1775495.0793033899,1724580.5793146559,2066785.337075747,1706366.0556327126,1769623.7174862952,2546321.481985221,2731205.7117939973,2214171.407687787,1469349.2500488753,1484209.6926451765,1860335.7116830284,2273795.6707294453,2725500.137763116,1830150.8146583098,1912986.9595272334,2048884.061898327
CP06,1268633.199415992,1732667.71795915,2400490.2576766163,2304889.6384441303,1501585.4097190893,1459810.01059434,1516345.308126101,1572016.8320919373,2369259.542830238,2381623.1950106244,4090871.6957667405,1367305.0742627366,1477597.0689109166,1068423.7063608284,1128920.377108077,1646264.8339062745,1189519.5890112892,1280019.4628256299,2046881.8835579243,2187995.9831252918,1463972.8501247617,1669637.2441440544,1482798.3883865415,1683736.4619122825,1103429.1102912135,1097737.5108178288,1353398.997374256,1317137.1209638147,1202890.1909698206,0.0,2727079.41608191,2827195.2107552197,3426954.286003247,1414200.0451321693,2155129.334538839,2415101.2441026075,1043188.4146715334,1536971.2183677254,1932752.5603763082,1989264.3615108118,2200360.4094878123,1417866.9170762985,1347258.9615270754,1997246.2394497055,1594637.1706812903,1213612.927649267,1202921.6163807742,1569654.8790586446,2366789.9734414266,3270380.437252599,2643251.862060485,2839242.9166256334,1407545.5633365514,1525212.1474765805,1501173.6639020664,2381394.7069968744,2553016.481720733,1572603.2250216543,1550831.8499819054,1175951.3064565025,1160585.4713032553,1766760.6018671484,3788394.1834889273,2847077.115378115,1458356.505103822,1389344.0382254536,1806255.9537196616,1875857.515107003,1839690.0475871833,1562762.807173692,1453665.1293682444,3032864.0851436458,2920984.1066009025,1554727.6580795965,1534820.6727461738,2118916.4510658737,2006150.8758357477,2124154.0443119076,1315082.951501121,1508818.579650141,2580327.749269901,2490261.1175001687,1648924.757003453,1633088.745387395,1884195.7915483203,2109185.3565396783,2142901.623489678,1424845.784296655,5529520.780669654,1693148.506790723,1635004.7895383672,5370932.290415363,4447153.301234081,2552542.424596472,1986940.7767614655,1226997.7177737236,2850414.7874926594,2095799.3960751593,1887472.4435668762,1971395.5713649862,1893034.7033317846,2433429.6635447526,2293173.467183973,1934504.5803589125,2289090.1001567454,2173318.7877490586,2004153.343444456,1471771.4945316066,1529414.0832399202,1339056.4724514536,1557210.63491059,1162678.2441820302,1783525.7778661873,1602974.2890863365,2022078.411358643,1444037.6881339836,1742444.9487429268,1694779.5165434422,2225984.8722272697,2656376.270153002,2903143.131953782,2267856.2744663856,2346969.966635163,1469531.180420784,1725397.7683849887,1773166.913051053,2010983.0678719406,2252099.882819921,1637050.3439148397,1056293.5182045402,1072139.848454897,1553868.2543691935,1394165.31846813,1853763.840875663,1511264.567498487,1426661.2387496154,2245818.9797517164,2432526.0997121152,1873133.9152912837,1125979.4963284675,1153677.577865132,1527160.013202416,1931798.8114860707,2455475.9302708227,1606904.044118069,1671180.0244088154,1713555.041301135
CP07,2382587.9689910943,2362859.7019640957,3159429.516319776,3301014.785950221,2353612.8094274676,2184038.579959887,2653777.2014235603,2669061.0425168313,2992698.4748899373,2915758.866693737,4277425.981112952,2231598.8056346527,2333399.2025385406,2250182.528274756,2232161.7292978778,2676000.3945390116,2366538.1704681935,2355934.210855799,2516009.8014014247,3922433.3586571063,3175235.352137407,2451566.4651545985,2528051.1478083604,2522216.481369358,2556992.21286769,2838148.2926664,2972879.116737687,2874526.031607165,2808937.2952417824,2727079.41608191,0.0,2014818.5658078264,2242193.8231477086,2478409.0071601677,2554652.357341928,3285416.192297441,2259776.7446064213,2588758.0549581563,2688092.6804702384,2543653.5451378394,3180243.1217556726,2542191.3475455116,2668760.85752627,2830402.94747937,2858640.864811802,2286246.2182846144,2189535.7475699023,1814034.405147372,2694194.072427726,3130070.3148806826,2924129.517994088,2944860.3214260503,2910655.415853827,2641676.854711375,2642046.789180704,2799778.1048001824,2850265.1382552995,2706574.5155350873,2981682.1455235733,2769053.985880306,2777435.905837714,2780750.447725996,2845421.573351943,2855952.1820197804,2629848.1997327385,2443550.893014123,2081410.0838031059,2340393.8760470133,2593252.379739331,2431583.1630959227,2271823.782467298,3361685.454887033,3252754.90790828,2199367.1802916545,2401826.9118161434,3055262.508965278,3010234.3220534017,3196904.4306076216,2514610.5793635626,2641806.8818712533,2746187.444749274,2853187.7371074297,2528069.4051045123,2493633.7663224996,2903995.483270824,3131997.9107480897,3210710.855187206,2491696.6558286496,4554013.939553317,2787053.9631015654,2749702.114604521,4210621.117299927,4705890.311844968,3659739.730277969,3052021.173224974,2241184.2599454266,3065317.7450506,2636417.5643329294,2322494.6476484532,2963368.2506926404,2987375.658879266,3301729.6997667295,3102274.8389446163,2308102.57416121,2114577.0750815705,2771132.934690458,2699719.98583575,2467545.7057188447,2472869.4371068287,2428215.2585040196,2504543.5334819374,2266339.862166811,2408813.9377914523,2061465.0764350356,2166095.11082292,2198694.6201401437,2675812.7023165934,2107257.0571857267,2410090.4016587846,2504580.638070126,2903234.848831982,2776764.809921101,3059914.2716045766,2541457.2266418305,2577141.6016710964,2183224.359398498,2283008.718280236,2618127.0666870396,2039453.6099713084,2537655.569663147,2708694.8838350587,2612026.4715164513,2719628.3965688255,3033963.7489348184,2681824.631533484,2557912.7028830387,2955204.834495096,2932182.6379400655,2827667.282673621,2320427.7512249635,2319378.0510864025,2582542.2137775444,2968835.94198611,3273911.837652342,2535676.5029148795,2375265.9500789437,2584445.4002296743
CP08,2237992.157556478,2262511.280535402,3093131.24259659,3270157.8882162496,2211941.871524506,2023075.08846761,2607160.386970674,2617938.8994108755,3031134.0479840073,2805460.4862249563,4296033.16711922,2274104.3343313625,2340419.235144088,2164145.309908607,2184010.35182623,2620939.380803789,2200445.806797279,2354214.1191663807,2454956.115832577,3919166.91732967,3029849.956304092,2353145.7262594956,2380398.1207132842,2396340.890298075,2570376.382922636,2633892.818869584,2892151.4401417687,2859552.7417438733,2963979.9315348314,2827195.2107552197,2014818.5658078264,0.0,1944434.0468598593,2376025.0304303407,2598295.6092104223,3216447.222510713,2170477.345217127,2483846.3793780096,2741237.3780138637,2396206.3865360296,3071500.0338002024,2616808.3279396044,2769183.192419431,3307448.88666999,3137394.5674727005,2149739.341789464,2220657.5872166166,1989702.1342032098,2910959.8503284156,3666892.8381080097,3056091.0378273265,3290341.0324521605,2920910.197111927,2553473.608257469,2587171.536449213,2617910.355067757,2812309.744069272,2756344.5044928305,2757152.9759695493,2653467.931938463,2558853.342646129,2733505.584755434,3146560.9955829713,2835375.3634535368,2491580.535953113,2323207.2179944306,2089080.9897992227,2412208.009593409,2643472.2188324095,2422754.673795616,2327826.8955896357,3283756.1997722215,3204550.0035969107,2193214.9486117954,2232237.12751999,2923321.2036703643,2974566.075358096,3056715.3186648996,2432966.6686938456,2564914.8079191493,2828622.0251965546,2838514.6246158998,2512501.057018406,2617626.437509652,2799060.496495119,2974364.254557904,3107054.2859591274,2536223.483190881,4462533.942398359,2649368.208589413,2619601.4422407155,4590521.557567485,4577346.918130448,3773590.675746126,2877628.7665777174,2210021.1448874697,3112935.5401742808,2129095.9845900005,2151905.2358757965,2676188.7336002863,2729175.4561921135,3268441.249997761,3131738.1366547523,2198803.674003875,2186189.6489793276,2804180.986069031,2713226.0726289744,2305822.8579477845,2300101.054193429,2401679.1253033355,2477155.768561791,2151192.2409466645,2397679.956494216,2122886.287647272,2112825.3113799077,2379361.8636425114,2662645.1079157186,2025709.99945722,2135381.187187032,2306665.4679375296,3001694.261697092,2616340.494972181,2663887.124789594,2287456.2732558413,2462475.205889655,2107031.374416802,2047611.400062373,2657396.5604638187,2163833.9688940784,2508867.475003352,2623051.647305991,2525228.9881000547,2812259.4810268227,3026134.8796175784,2761125.49896451,2539657.380620235,2972168.5845670486,2836455.3661097903,2625569.113300887,2210991.043464768,2207955.3615036854,2396614.9704159605,2767118.03926566,3184897.282918908,2426603.9937328966,2369645.154367502,2532870.050440348
