pre,sim_score_Adam
AS11,27.746258215720506
AV,-6.0
AVA,183.48480969879438
AVB,9.030622331762856
AVD,26.709193511268033
AVF,-53.16838710680909
AVG,35.393023738497845
AVH,-2.0
AVJ,-8.603638323514328
AVK,-5.339488844819591
CA02,-1.0
CA03,6.892813783429407
CA04,11.59082114859899
CA05,-1.4284308499314662
CA06,30.18147877026308
CA07,8.865351193227802
CA08,14.510908420390983
CA09,0.17751027176961065
CP01,15.665304244894319
CP02,9.558809375920582
CP03,26.436774164425838
CP04,35.61512858046827
CP05,122.57326107523284
CP06,131.14816182791103
CP07,126.42160773043312
CP08,124.1209671817576
CP09,330.0166615291771
DA07,1.6321205588285577
DA08,3.4799404080942313
DA09,1.9323582389646612
DB05,1.6321205588285577
DD03,0.6321205588285577
DD06,-0.2819572495804499
DVA,2.6152756913308437
DVB,29.594310260823384
DVC,3.648219382158869
DVE,88.09806217777397
DVF,44.65393886414016
DX1,-13.000005820701034
DX2,2.7606811188080655
DX3,-19.491333424190763
EF1,-1.1839397205857212
EF2,-11.05503388616522
HOA,478.3512912494179
HOB,823.1197630519401
LUA,-40.53771617875991
PCA,323.3032138033578
PCB,137.5033397693004
PCC,132.53426342003425
PDA,31.218618797650453
PDB,160.0023724015081
PDC,29.331923519439265
PDE,-1.5515688214958827
PGA,30.650604617594297
PHA,-96.16619179743759
PHB,-48.67561064865109
PHC,125.07648804316281
PHD,-16.318990900518983
PLM,35.586326171662876
PQR,175.1217837102329
PVC,5.316707737134305
PVD,49.62885210873154
PVM,4.501126829729042
PVN,-16.894753692305358
PVP,-0.5
PVQ,-0.6839397205857212
PVR,14.528452986088993
PVV,54.950361012723775
PVX,129.55626186831032
PVY,5.356428347932976
PVZ,147.94753652137206
R1A,-64.27067056647323
R1B,-219.64858071119994
R2A,66.55133885010227
R2B,109.28252521270552
R2sh,-5.0
R3A,44.465831714296364
R3B,-50.64167191244281
R4A,118.14195809441743
R4B,65.28862725684294
R5A,42.7476697655745
R5B,-74.32257264519548
R6A,57.16734104342292
R6B,-39.131417033671504
R7A,51.8139720520278
R7B,93.68147394490342
R8A,59.49400822826035
R8B,56.98055197954693
R9A,16.637418827400698
R9B,103.64024109173323
SDQ,-30.5
SPC,48.7758912896932
SPD,24.580336842880634
SPV,116.60868353087375
VA09,2.6807249961776662
VA10,65.82556929025343
VA11,68.85269237622721
VA12,213.28693572855863
VB05,-2.0
VB06,2.4481808382428367
VB07,24.183252803045896
VB08,128.81805105736777
VB09,54.81884621147836
VB10,30.426807219042296
VB11,-26.395729146256713
VD08,-24.367879441171443
VD09,-4.519628599788037
VD10,5.855509837695349
VD11,27.442111066529975
VD12,-21.714572460708073
VD13,-8.844178906276179
