,pre,post,pixels
3956,RMGR,SIADL,874
3957,RMGR,SIAVR,2303
3958,RMGR,SIBDL,2394
3959,RMGR,SIBDR,1390
3960,RMGR,SIBVL,2651
3961,RMGR,SIBVR,5189
3962,RMGR,SMBDR,417
3963,RMGR,SMBVR,16331
3964,RMGR,SMDDL,826
3965,RMGR,SMDDR,164
3966,RMGR,SMDVL,1306
3967,RMGR,URBR,2271
3968,RMGR,URXR,17698
3969,RMHL,ADAL,19
3970,RMHL,ADEL,233
3971,RMHL,ADER,643
3972,RMHL,AIBR,3688
3973,RMHL,ALNL,2982
3974,RMHL,ALNR,7583
3975,RMHL,AVAL,8090
3976,RMHL,AVAR,3714
3977,RMHL,AVBR,3993
3978,RMHL,AVKL,2570
3979,RMHL,CEPDL,472
3980,RMHL,CEPDR,13528
3981,RMHL,CEPVL,2068
3982,RMHL,DVA,2339
3983,RMHL,FLPR,811
3984,RMHL,IL1R,2176
3985,RMHL,IL1VL,253
3986,RMHL,IL2DL,1379
3987,RMHL,IL2VL,1007
3988,RMHL,OLLR,207
3989,RMHL,OLQDL,5364
3990,RMHL,OLQDR,2320
3991,RMHL,OLQVL,4691
3992,RMHL,PVCR,47
3993,RMHL,RICL,27747
3994,RMHL,RICR,10415
3995,RMHL,RID,5207
3996,RMHL,RIGL,98
3997,RMHL,RIGR,7685
3998,RMHL,RIH,3014
3999,RMHL,RIPL,312
4000,RMHL,RIVL,4459
4001,RMHL,RIVR,8168
4002,RMHL,RMDDL,6622
4003,RMHL,RMDDR,2788
4004,RMHL,RMDL,4397
4005,RMHL,RMDR,12390
4006,RMHL,RMDVL,4212
4007,RMHL,RMEL,106
4008,RMHL,RMFL,6114
4009,RMHL,RMHR,10626
4010,RMHL,SAADR,327
4011,RMHL,SAAVL,3170
4012,RMHL,SAAVR,3273
4013,RMHL,SDQL,1013
4014,RMHL,SDQR,8067
4015,RMHL,SIADL,1317
4016,RMHL,SIADR,1586
4017,RMHL,SIAVL,1614
4018,RMHL,SIBDL,1867
4019,RMHL,SIBDR,716
4020,RMHL,SIBVR,7593
4021,RMHL,SMBDL,2757
4022,RMHL,SMBDR,1047
4023,RMHL,SMBVL,1230
4024,RMHL,SMDDL,10016
4025,RMHL,SMDDR,11329
4026,RMHL,SMDVL,3453
4027,RMHL,SMDVR,4647
4028,RMHL,URADL,131
4029,RMHL,URAVL,298
4030,RMHL,URBL,988
4031,RMHL,URBR,1778
4032,RMHL,URXR,1274
4033,RMHL,VB01,7971
4034,RMHR,ADEL,3876
4035,RMHR,AIBL,4098
4036,RMHR,AIBR,71
4037,RMHR,ALML,22
4038,RMHR,ALNL,4204
4039,RMHR,ALNR,1006
4040,RMHR,AVAL,8194
4041,RMHR,AVAR,9871
4042,RMHR,AVBL,3740
4043,RMHR,AVDL,1033
4044,RMHR,AVER,1089
4045,RMHR,AVKR,4022
4046,RMHR,CEPDL,9118
4047,RMHR,CEPDR,346
4048,RMHR,CEPVR,6697
4049,RMHR,DVA,288
4050,RMHR,IL1L,116
4051,RMHR,IL2DR,1797
4052,RMHR,IL2L,361
4053,RMHR,IL2VR,107
4054,RMHR,OLQDL,155
4055,RMHR,OLQDR,7922
4056,RMHR,OLQVR,4857
4057,RMHR,PLNL,653
4058,RMHR,RICL,9531
4059,RMHR,RICR,26998
4060,RMHR,RIGL,6939
4061,RMHR,RIH,83
4062,RMHR,RIPR,361
4063,RMHR,RIVL,9817
4064,RMHR,RIVR,1832
4065,RMHR,RMDDL,3333
4066,RMHR,RMDDR,1308
4067,RMHR,RMDL,10896
4068,RMHR,RMDR,4602
4069,RMHR,RMDVL,12
4070,RMHR,RMDVR,2098
4071,RMHR,RMER,184
4072,RMHR,RMFR,7998
4073,RMHR,SAADL,743
4074,RMHR,SAADR,76
4075,RMHR,SAAVL,7528
4076,RMHR,SAAVR,1849
4077,RMHR,SDQR,10577
4078,RMHR,SIADL,839
4079,RMHR,SIADR,1676
4080,RMHR,SIAVR,6317
4081,RMHR,SIBDR,9424
4082,RMHR,SIBVL,560
4083,RMHR,SMBDL,70
4084,RMHR,SMBDR,3905
4085,RMHR,SMBVR,1240
4086,RMHR,SMDDL,587
4087,RMHR,SMDDR,10343
4088,RMHR,SMDVL,6967
4089,RMHR,SMDVR,1633
4090,RMHR,URADR,166
4091,RMHR,URAVR,83
4092,RMHR,URBL,14285
4093,RMHR,URBR,672
4094,RMHR,URXL,976
4095,RMHR,URXR,1065
4096,RMHR,URYDL,46
4097,RMHR,VB01,2286
4098,SAADL,ADAL,4561
4099,SAADL,ADEL,998
4100,SAADL,ADER,755
4101,SAADL,ALNL,1381
4102,SAADL,AVEL,428
4103,SAADL,AVER,1278
4104,SAADL,AVKL,905
4105,SAADL,AVKR,5256
4106,SAADL,CEPDR,229
4107,SAADL,DVA,43
4108,SAADL,DVC,5802
4109,SAADL,OLLR,9588
4110,SAADL,PLNR,4127
4111,SAADL,PVNL,891
4112,SAADL,RICL,82
4113,SAADL,RICR,323
4114,SAADL,RIGL,14714
4115,SAADL,RIGR,1208
4116,SAADL,RIH,2649
4117,SAADL,RIML,31701
4118,SAADL,RIMR,32318
4119,SAADL,RIVR,19220
4120,SAADL,RMDDL,927
4121,SAADL,RMDL,945
4122,SAADL,RMDVR,8297
4123,SAADL,RMFL,11500
4124,SAADL,RMFR,19867
4125,SAADL,SAAVL,67
4126,SAADL,SAAVR,4329
4127,SAADL,SDQL,34
4128,SAADL,SDQR,137
4129,SAADL,SIADL,4607
4130,SAADL,SIBDL,4446
4131,SAADL,SIBVL,3783
4132,SAADL,SIBVR,4487
4133,SAADL,SMBDL,2792
4134,SAADL,SMBDR,1013
4135,SAADL,SMBVL,17976
4136,SAADL,SMBVR,120
4137,SAADL,SMDDL,5320
4138,SAADL,SMDVR,25526
4139,SAADL,URBR,274
4140,SAADL,URYVL,1798
4141,SAADL,VB01,12680
4142,SAADL,VB02,2536
4143,SAADR,ADAR,1733
4144,SAADR,ADEL,1116
4145,SAADR,ADER,933
4146,SAADR,AINL,256
4147,SAADR,ALML,2157
4148,SAADR,ALNL,5574
4149,SAADR,ALNR,1087
4150,SAADR,AQR,1802
4151,SAADR,AVEL,2397
4152,SAADR,AVER,324
4153,SAADR,AVHL,139
4154,SAADR,AVKL,7636
4155,SAADR,DVA,2754
4156,SAADR,DVC,3831
4157,SAADR,FLPL,4061
4158,SAADR,IL1VR,301
4159,SAADR,IL2VR,509
4160,SAADR,OLLL,9578
4161,SAADR,PLNL,6263
4162,SAADR,PVPR,40
4163,SAADR,RICL,1301
4164,SAADR,RIGL,6019
4165,SAADR,RIGR,20709
4166,SAADR,RIH,1257
4167,SAADR,RIML,26599
4168,SAADR,RIMR,24320
4169,SAADR,RIR,705
4170,SAADR,RIS,2725
4171,SAADR,RIVL,27251
4172,SAADR,RMDDR,3141
4173,SAADR,RMDR,664
4174,SAADR,RMDVL,632
4175,SAADR,RMFL,14916
4176,SAADR,RMFR,17055
4177,SAADR,SAADL,6075
4178,SAADR,SAAVL,3861
4179,SAADR,SAAVR,141
4180,SAADR,SDQL,1457
4181,SAADR,SDQR,411
4182,SAADR,SIADR,3725
4183,SAADR,SIBDR,1151
4184,SAADR,SIBVL,579
4185,SAADR,SIBVR,1844
4186,SAADR,SMBDR,4408
4187,SAADR,SMBVL,544
4188,SAADR,SMBVR,23919
4189,SAADR,SMDDL,558
4190,SAADR,SMDDR,7906
4191,SAADR,SMDVL,14340
4192,SAADR,SMDVR,192
4193,SAADR,URAVR,179
4194,SAADR,URBL,798
4195,SAADR,URYVR,2293
4196,SAAVL,ADAR,294
4197,SAAVL,ADEL,303
4198,SAAVL,ADER,1659
4199,SAAVL,AINR,738
4200,SAAVL,ALA,80
4201,SAAVL,ALNL,5087
4202,SAAVL,ASER,622
4203,SAAVL,AVEL,65
4204,SAAVL,AVER,1163
4205,SAAVL,AVKL,9
4206,SAAVL,BAGL,2674
4207,SAAVL,BAGR,2417
4208,SAAVL,DVA,1602
4209,SAAVL,OLLR,649
4210,SAAVL,PLNL,5529
4211,SAAVL,RICR,279
4212,SAAVL,RIGR,4605
4213,SAAVL,RIH,335
4214,SAAVL,RIML,12223
4215,SAAVL,RIMR,27333
4216,SAAVL,RIVL,2231
4217,SAAVL,RIVR,1201
4218,SAAVL,RMDL,1247
4219,SAAVL,RMDVL,3581
4220,SAAVL,RMFR,30095
4221,SAAVL,SDQR,282
4222,SAAVL,SIADL,1202
4223,SAAVL,SIAVL,249
4224,SAAVL,SIBDR,1523
4225,SAAVL,SIBVL,364
4226,SAAVL,SMBDL,2832
4227,SAAVL,SMBDR,18334
4228,SAAVL,SMBVR,10095
4229,SAAVL,SMDDL,1263
4230,SAAVL,SMDDR,60608
4231,SAAVL,SMDVL,12808
4232,SAAVL,SMDVR,3436
4233,SAAVL,URYDL,464
4234,SAAVL,URYDR,478
4235,SAAVR,ADER,1641
4236,SAAVR,AINL,130
4237,SAAVR,ALA,245
4238,SAAVR,ALNL,895
4239,SAAVR,ALNR,2142
4240,SAAVR,ASEL,51
4241,SAAVR,AVER,671
4242,SAAVR,BAGL,80
4243,SAAVR,BAGR,3726
4244,SAAVR,DVA,1452
4245,SAAVR,IL1R,646
4246,SAAVR,OLLL,510
4247,SAAVR,PLNR,3124
4248,SAAVR,RICR,633
4249,SAAVR,RIGL,5113
4250,SAAVR,RIML,17345
4251,SAAVR,RIMR,13939
4252,SAAVR,RIVL,6173
4253,SAAVR,RIVR,2355
4254,SAAVR,RMDR,457
4255,SAAVR,RMDVR,3483
4256,SAAVR,RMFL,28697
4257,SAAVR,SAAVL,12982
4258,SAAVR,SDQL,283
4259,SAAVR,SDQR,4680
4260,SAAVR,SIADL,152
4261,SAAVR,SIADR,1371
4262,SAAVR,SIAVL,1325
4263,SAAVR,SIAVR,1355
4264,SAAVR,SIBDR,1534
4265,SAAVR,SIBVL,1103
4266,SAAVR,SIBVR,543
4267,SAAVR,SMBDL,22993
4268,SAAVR,SMBDR,3166
4269,SAAVR,SMBVL,7372
4270,SAAVR,SMDDL,56297
4271,SAAVR,SMDDR,3884
4272,SAAVR,SMDVR,11892
4273,SAAVR,URYDL,444
4274,SAAVR,URYDR,755
4275,SAAVR,VB01,15772
4276,SDQL,ADEL,3583
4277,SDQL,AINL,602
4278,SDQL,ALML,7314
4279,SDQL,ALMR,1098
4280,SDQL,AVHL,231
4281,SDQL,AVL,787
4282,SDQL,BDUL,5840
4283,SDQL,BDUR,832
4284,SDQL,CEPVL,399
4285,SDQL,CEPVR,4048
4286,SDQL,FLPL,6010
4287,SDQL,PVNL,5199
4288,SDQL,PVR,2688
4289,SDQL,RICL,5209
4290,SDQL,RICR,8853
4291,SDQL,RID,2373
4292,SDQL,RIFL,695
4293,SDQL,RIPR,759
4294,SDQL,RIS,9382
4295,SDQL,RMFL,1910
4296,SDQL,SDQR,61776
4297,SDQL,VB01,3394
4298,SDQR,ADAL,681
4299,SDQR,ADAR,386
4300,SDQR,ADER,3657
4301,SDQR,AINR,58
4302,SDQR,ALML,2886
4303,SDQR,ALMR,8877
4304,SDQR,AVHR,72
4305,SDQR,AVL,303
4306,SDQR,BDUL,411
4307,SDQR,BDUR,3758
4308,SDQR,CEPVL,2741
4309,SDQR,CEPVR,1256
4310,SDQR,FLPL,2144
4311,SDQR,FLPR,308
4312,SDQR,PVNL,5749
4313,SDQR,PVNR,2428
4314,SDQR,PVR,17218
4315,SDQR,RICL,12697
4316,SDQR,RICR,12249
4317,SDQR,RID,496
4318,SDQR,RIFL,25
4319,SDQR,RIFR,803
4320,SDQR,RIPL,81
4321,SDQR,RIR,1034
4322,SDQR,RIS,1614
4323,SDQR,RMFL,3509
4324,SDQR,RMFR,9253
4325,SDQR,VB01,4340
4326,SIADL,ADAR,540
4327,SIADL,ADER,150
4328,SIADL,AINR,264
4329,SIADL,ALA,670
4330,SIADL,ALMR,3659
4331,SIADL,ALNR,5017
4332,SIADL,AQR,17
4333,SIADL,ASJR,505
4334,SIADL,AVEL,423
4335,SIADL,AVER,2648
4336,SIADL,AVFR,190
4337,SIADL,AVKL,8800
4338,SIADL,AVKR,3442
4339,SIADL,CEPDR,1042
4340,SIADL,DVA,11770
4341,SIADL,IL1VL,1309
4342,SIADL,IL2VL,359
4343,SIADL,RICL,8417
4344,SIADL,RICR,1763
4345,SIADL,RIGL,2744
4346,SIADL,RIH,350
4347,SIADL,RMEV,450
4348,SIADL,RMFL,144
4349,SIADL,SDQR,1024
4350,SIADL,SIAVL,13351
4351,SIADL,SIAVR,988
4352,SIADL,SIBDL,16935
4353,SIADL,SIBDR,1854
4354,SIADL,SIBVL,5061
4355,SIADL,SIBVR,3443
4356,SIADL,URAVL,346
4357,SIADL,URBR,425
4358,SIADL,URYDL,525
4359,SIADL,URYVL,1980
4360,SIADL,VB01,2032
4361,SIADR,ADAR,2608
4362,SIADR,AINL,502
4363,SIADR,ALA,739
4364,SIADR,ALML,3615
4365,SIADR,ALNL,5445
4366,SIADR,AQR,270
4367,SIADR,ASJL,951
4368,SIADR,AVEL,1937
4369,SIADR,AVER,1811
4370,SIADR,AVFR,266
4371,SIADR,AVHL,867
4372,SIADR,AVKL,3490
4373,SIADR,AVKR,8717
4374,SIADR,AVL,4582
4375,SIADR,CEPDL,2359
4376,SIADR,DVA,14140
4377,SIADR,FLPL,10
4378,SIADR,IL1VR,1284
4379,SIADR,IL2VR,440
4380,SIADR,OLQDL,39
4381,SIADR,RICR,6482
4382,SIADR,RID,31
4383,SIADR,RIGR,1321
4384,SIADR,RIH,762
4385,SIADR,RIS,600
4386,SIADR,RMEV,52
4387,SIADR,SDQL,7847
4388,SIADR,SIADL,1624
4389,SIADR,SIAVL,1327
4390,SIADR,SIAVR,15172
4391,SIADR,SIBDL,772
4392,SIADR,SIBDR,15804
4393,SIADR,SIBVL,5827
4394,SIADR,SIBVR,3457
4395,SIADR,URAVR,444
4396,SIADR,URBL,1198
4397,SIADR,URYDR,318
4398,SIADR,URYVR,1057
4399,SIAVL,ADAL,1186
4400,SIAVL,ADEL,519
4401,SIAVL,ADFL,739
4402,SIAVL,AIML,2022
4403,SIAVL,ALNL,1139
4404,SIAVL,AQR,2264
4405,SIAVL,AVER,7855
4406,SIAVL,AVFL,2531
4407,SIAVL,AVFR,1754
4408,SIAVL,AVKL,8114
4409,SIAVL,AVKR,5982
4410,SIAVL,BAGL,394
4411,SIAVL,CEPVL,4220
4412,SIAVL,DVA,18304
4413,SIAVL,FLPL,2628
4414,SIAVL,FLPR,57
4415,SIAVL,IL1VL,1521
4416,SIAVL,IL2VL,339
4417,SIAVL,OLLL,1228
4418,SIAVL,OLQVL,41
4419,SIAVL,PLNR,6162
4420,SIAVL,PVNL,1584
4421,SIAVL,PVPL,308
4422,SIAVL,RICL,2490
4423,SIAVL,RICR,1772
4424,SIAVL,RID,1264
4425,SIAVL,RIGR,128
4426,SIAVL,RIH,4279
4427,SIAVL,RMEV,778
4428,SIAVL,SDQL,114
4429,SIAVL,SDQR,7340
4430,SIAVL,SIBDL,16016
4431,SIAVL,SIBVL,18450
4432,SIAVL,SIBVR,9849
4433,SIAVL,URAVL,887
4434,SIAVL,URBL,1850
4435,SIAVR,ADAR,2288
4436,SIAVR,AIMR,3099
4437,SIAVR,ALNR,83
4438,SIAVR,AVEL,8837
4439,SIAVR,AVJL,403
4440,SIAVR,AVKL,7034
4441,SIAVR,AVKR,10913
4442,SIAVR,AVL,644
4443,SIAVR,AVM,1381
4444,SIAVR,BAGR,407
4445,SIAVR,CEPVR,4557
4446,SIAVR,DVA,25205
4447,SIAVR,FLPR,1604
4448,SIAVR,IL1R,292
4449,SIAVR,IL1VR,1594
4450,SIAVR,IL2VR,462
4451,SIAVR,OLLR,527
4452,SIAVR,PLNL,14208
4453,SIAVR,PVR,2681
4454,SIAVR,PVT,499
4455,SIAVR,RICL,3489
4456,SIAVR,RICR,6536
4457,SIAVR,RIGR,253
4458,SIAVR,RIS,1345
4459,SIAVR,SABD,2207
4460,SIAVR,SDQR,8874
4461,SIAVR,SIBDL,886
4462,SIAVR,SIBDR,45737
4463,SIAVR,SIBVL,12089
4464,SIAVR,SIBVR,17207
4465,SIAVR,URAVR,898
4466,SIAVR,URBR,4891
4467,SIBDL,ADAL,3705
4468,SIBDL,ADAR,502
4469,SIBDL,ADER,964
4470,SIBDL,ADFL,1783
4471,SIBDL,AINR,342
4472,SIBDL,ALA,258
4473,SIBDL,ALMR,10204
4474,SIBDL,ALNL,53
4475,SIBDL,ALNR,5959
4476,SIBDL,AQR,467
4477,SIBDL,ASJR,534
4478,SIBDL,AVFR,297
4479,SIBDL,AVHR,183
4480,SIBDL,BAGL,321
4481,SIBDL,CEPDR,31
4482,SIBDL,DVA,6831
4483,SIBDL,OLLR,438
4484,SIBDL,PVPR,780
4485,SIBDL,RICL,3738
4486,SIBDL,RICR,1267
4487,SIBDL,RID,522
4488,SIBDL,SIBVL,22503
4489,SIBDL,SIBVR,9629
4490,SIBDL,URBL,2019
4491,SIBDL,URBR,225
4492,SIBDL,URYDR,261
4493,SIBDL,URYVL,2159
4494,SIBDL,VB01,296
4495,SIBDR,ADAL,163
4496,SIBDR,ADAR,7008
4497,SIBDR,ADEL,4197
4498,SIBDR,ADFR,76
4499,SIBDR,AIML,612
4500,SIBDR,AINL,1937
4501,SIBDR,ALA,593
4502,SIBDR,ALNL,3325
4503,SIBDR,AQR,539
4504,SIBDR,ASJL,467
4505,SIBDR,AVEL,5625
4506,SIBDR,AVER,92
4507,SIBDR,AVFR,447
4508,SIBDR,AVHL,614
4509,SIBDR,AVKL,433
4510,SIBDR,AVKR,304
4511,SIBDR,BAGR,2229
4512,SIBDR,CEPVR,1810
4513,SIBDR,DVA,6959
4514,SIBDR,IL1VR,730
4515,SIBDR,IL2VR,443
4516,SIBDR,OLLL,216
4517,SIBDR,OLQVR,4005
4518,SIBDR,PLNL,12646
4519,SIBDR,PVPR,256
4520,SIBDR,RICL,9091
4521,SIBDR,RICR,2110
4522,SIBDR,RID,347
4523,SIBDR,RIFR,121
4524,SIBDR,RIPR,481
4525,SIBDR,SDQL,5027
4526,SIBDR,SIBDL,1045
4527,SIBDR,SIBVL,7288
4528,SIBDR,SIBVR,21270
4529,SIBDR,URAVR,509
4530,SIBDR,URBL,413
4531,SIBDR,URBR,5981
4532,SIBDR,URYDL,683
4533,SIBDR,URYVR,1411
4534,SIBVL,ADAL,5135
4535,SIBVL,ADAR,608
4536,SIBVL,ADEL,158
4537,SIBVL,ADER,973
4538,SIBVL,ADFL,1808
4539,SIBVL,ALMR,3907
4540,SIBVL,ALNL,492
4541,SIBVL,AQR,6940
4542,SIBVL,AVER,4794
4543,SIBVL,AVJL,2317
4544,SIBVL,AVM,5790
4545,SIBVL,BAGL,1100
4546,SIBVL,BAGR,121
4547,SIBVL,CEPDL,1842
4548,SIBVL,CEPVR,1103
4549,SIBVL,DVA,42086
4550,SIBVL,IL1VL,795
4551,SIBVL,IL1VR,662
4552,SIBVL,IL2DL,307
4553,SIBVL,IL2VL,1441
4554,SIBVL,IL2VR,228
4555,SIBVL,OLLL,1508
4556,SIBVL,OLLR,820
4557,SIBVL,OLQDL,5612
4558,SIBVL,PLNL,3291
4559,SIBVL,PVPL,1138
4560,SIBVL,PVPR,350
4561,SIBVL,PVR,4923
4562,SIBVL,RICL,20
4563,SIBVL,RICR,12090
4564,SIBVL,RID,1168
4565,SIBVL,RIGL,152
4566,SIBVL,RIGR,1090
4567,SIBVL,RIPR,979
4568,SIBVL,SABD,896
4569,SIBVL,SDQL,4171
4570,SIBVL,SDQR,553
4571,SIBVL,URAVL,1001
4572,SIBVL,URAVR,756
4573,SIBVL,URBL,6602
4574,SIBVL,URBR,269
4575,SIBVL,URYDR,1190
4576,SIBVL,URYVL,117
4577,SIBVL,URYVR,1581
4578,SIBVL,VB01,230
4579,SIBVR,ADAL,6108
4580,SIBVR,ADAR,942
4581,SIBVR,ADEL,1085
4582,SIBVR,ADFR,3803
4583,SIBVR,ALNR,54
4584,SIBVR,AQR,7621
4585,SIBVR,ASGL,440
4586,SIBVR,AVEL,62
4587,SIBVR,AVER,845
4588,SIBVR,AVFL,1760
4589,SIBVR,AVFR,2261
4590,SIBVR,AVHR,1276
4591,SIBVR,AVJL,2831
4592,SIBVR,AVKR,2780
4593,SIBVR,AVL,638
4594,SIBVR,AVM,75
4595,SIBVR,BAGL,805
4596,SIBVR,BAGR,1609
4597,SIBVR,BDUL,265
4598,SIBVR,CEPDR,1232
4599,SIBVR,DVA,37028
4600,SIBVR,FLPL,3852
4601,SIBVR,IL1R,501
4602,SIBVR,IL1VL,1038
4603,SIBVR,IL1VR,1045
4604,SIBVR,IL2VL,337
4605,SIBVR,IL2VR,499
4606,SIBVR,OLLL,471
4607,SIBVR,OLLR,1668
4608,SIBVR,OLQDR,7116
4609,SIBVR,PLNR,1602
4610,SIBVR,PVNL,3919
4611,SIBVR,PVPR,745
4612,SIBVR,RICL,28480
4613,SIBVR,RICR,2291
4614,SIBVR,RID,22706
4615,SIBVR,RIGR,848
4616,SIBVR,RIH,1106
4617,SIBVR,RIPR,66
4618,SIBVR,RIR,1305
4619,SIBVR,RMEV,984
4620,SIBVR,SDQL,1614
4621,SIBVR,SDQR,1286
4622,SIBVR,SIBVL,33246
4623,SIBVR,URAVL,208
4624,SIBVR,URAVR,936
4625,SIBVR,URBL,82
4626,SIBVR,URBR,6737
4627,SIBVR,URYVL,1704
4628,SMBDL,ADAL,761
4629,SMBDL,ADEL,274
4630,SMBDL,ADER,2822
4631,SMBDL,ADFL,9259
4632,SMBDL,AIMR,1729
4633,SMBDL,ALA,48
4634,SMBDL,ALMR,1704
4635,SMBDL,ALNR,10550
4636,SMBDL,ASJR,525
4637,SMBDL,AVER,2081
4638,SMBDL,AVFR,424
4639,SMBDL,AVHR,822
4640,SMBDL,AVKL,12282
4641,SMBDL,AVKR,9682
4642,SMBDL,CEPDR,8399
4643,SMBDL,DVA,17833
4644,SMBDL,DVC,2030
4645,SMBDL,IL1DR,78
4646,SMBDL,IL1VL,890
4647,SMBDL,IL2DR,707
4648,SMBDL,IL2VL,366
4649,SMBDL,OLQDR,8806
4650,SMBDL,PVT,566
4651,SMBDL,RICL,6659
4652,SMBDL,RICR,1219
4653,SMBDL,RIGL,11943
4654,SMBDL,RIGR,1590
4655,SMBDL,RIH,956
4656,SMBDL,RIR,646
4657,SMBDL,RIVL,5554
4658,SMBDL,RIVR,4071
4659,SMBDL,RMED,10366
4660,SMBDL,RMEV,2915
4661,SMBDL,RMFL,2127
4662,SMBDL,SDQR,3070
4663,SMBDL,SIADL,33838
4664,SMBDL,SIAVL,19345
4665,SMBDL,SIBDL,33171
4666,SMBDL,SIBDR,6160
4667,SMBDL,SIBVL,9145
4668,SMBDL,SIBVR,19721
4669,SMBDL,SMBVL,73930
4670,SMBDL,SMBVR,494
4671,SMBDL,SMDDL,3227
4672,SMBDL,SMDVL,2449
4673,SMBDL,SMDVR,121
4674,SMBDL,URAVL,700
4675,SMBDL,URBL,218
4676,SMBDL,URBR,6704
4677,SMBDL,URYVL,1915
4678,SMBDL,VB01,6093
4679,SMBDR,ADAR,5467
4680,SMBDR,ADFR,10529
4681,SMBDR,AIML,130
4682,SMBDR,ALML,10606
4683,SMBDR,ALNL,7290
4684,SMBDR,AQR,326
4685,SMBDR,AVEL,853
4686,SMBDR,AVHL,811
4687,SMBDR,AVKL,3799
4688,SMBDR,AVKR,12099
4689,SMBDR,AVL,3507
4690,SMBDR,AVM,339
4691,SMBDR,BAGR,64
4692,SMBDR,CEPDL,7391
4693,SMBDR,CEPDR,3090
4694,SMBDR,CEPVR,213
4695,SMBDR,DVA,13219
4696,SMBDR,FLPR,810
4697,SMBDR,IL2DL,166
4698,SMBDR,OLQDL,8427
4699,SMBDR,PVPR,930
4700,SMBDR,PVT,1397
4701,SMBDR,RICL,8308
4702,SMBDR,RICR,9200
4703,SMBDR,RIFR,493
4704,SMBDR,RIGL,137
4705,SMBDR,RIGR,7058
4706,SMBDR,RIH,7110
4707,SMBDR,RIS,1638
4708,SMBDR,RIVL,9645
4709,SMBDR,RIVR,1567
4710,SMBDR,RMED,6442
4711,SMBDR,SDQL,2073
4712,SMBDR,SIADR,56858
4713,SMBDR,SIAVR,30532
4714,SMBDR,SIBDL,3745
4715,SMBDR,SIBDR,28063
4716,SMBDR,SIBVL,28832
4717,SMBDR,SIBVR,25569
4718,SMBDR,SMBDL,3300
4719,SMBDR,SMBVL,196
4720,SMBDR,SMBVR,92700
4721,SMBDR,SMDDR,6487
4722,SMBDR,SMDVR,3559
4723,SMBDR,URBL,7966
4724,SMBDR,URBR,175
4725,SMBDR,URYDR,1563
4726,SMBDR,URYVR,1980
4727,SMBDR,VC01,588
4728,SMBDR,VD01,1768
4729,SMBVL,ADAL,27
4730,SMBVL,ADEL,1053
4731,SMBVL,ADFL,14809
4732,SMBVL,AIML,5784
4733,SMBVL,ALA,144
4734,SMBVL,ALML,3073
4735,SMBVL,ALNL,695
4736,SMBVL,ASGL,1756
4737,SMBVL,ASJL,3665
4738,SMBVL,AVEL,465
4739,SMBVL,AVER,1180
4740,SMBVL,AVFL,5854
4741,SMBVL,AVFR,6003
4742,SMBVL,AVHR,6744
4743,SMBVL,AVJR,4810
4744,SMBVL,AVKL,345
4745,SMBVL,AWAL,226
4746,SMBVL,CEPVL,11926
4747,SMBVL,DVA,3577
4748,SMBVL,FLPL,451
4749,SMBVL,IL1L,1822
4750,SMBVL,OLLL,1721
4751,SMBVL,OLQVL,5665
4752,SMBVL,PLNR,30976
4753,SMBVL,PVPL,3939
4754,SMBVL,PVR,1072
4755,SMBVL,RICL,4838
4756,SMBVL,RICR,1935
4757,SMBVL,RID,70
4758,SMBVL,RIFL,4394
4759,SMBVL,RIGL,2034
4760,SMBVL,RIGR,48
4761,SMBVL,RIH,3670
4762,SMBVL,RIR,2849
4763,SMBVL,RIVR,1334
4764,SMBVL,RMEV,6945
4765,SMBVL,SDQR,180
4766,SMBVL,SIAVL,14331
4767,SMBVL,SIBDL,1834
4768,SMBVL,SIBVL,2624
4769,SMBVL,SIBVR,6966
4770,SMBVL,SMDDL,683
4771,SMBVL,SMDVR,4112
4772,SMBVL,URBL,2342
4773,SMBVL,URYVL,394
4774,SMBVL,VB01,90
4775,SMBVL,VB02,872
4776,SMBVR,ADAR,1347
4777,SMBVR,ADER,777
4778,SMBVR,ADFR,21554
4779,SMBVR,AIMR,2383
4780,SMBVR,AQR,1007
4781,SMBVR,ASGR,1088
4782,SMBVR,AVER,1417
4783,SMBVR,AVHL,14268
4784,SMBVR,AVJL,2793
4785,SMBVR,AVKL,586
4786,SMBVR,AVKR,4787
4787,SMBVR,AVL,239
4788,SMBVR,AVM,517
4789,SMBVR,AWAR,89
4790,SMBVR,CEPVR,9753
4791,SMBVR,DVA,8922
4792,SMBVR,FLPR,580
4793,SMBVR,IL1R,2302
4794,SMBVR,IL1VR,74
4795,SMBVR,IL2VR,325
4796,SMBVR,OLLR,2075
4797,SMBVR,OLQVR,10203
4798,SMBVR,PLNL,34273
4799,SMBVR,PVPR,3244
4800,SMBVR,RICL,90
4801,SMBVR,RICR,6351
4802,SMBVR,RIFR,3488
4803,SMBVR,RIGL,116
4804,SMBVR,RIGR,1355
4805,SMBVR,RIR,522
4806,SMBVR,RIS,4983
4807,SMBVR,RIVL,1613
4808,SMBVR,RMEV,2998
4809,SMBVR,RMFR,169
4810,SMBVR,SABD,1068
4811,SMBVR,SIADR,7
4812,SMBVR,SIAVR,12302
4813,SMBVR,SIBDR,11508
4814,SMBVR,SIBVL,9153
4815,SMBVR,SIBVR,1646
4816,SMBVR,SMBVL,227
4817,SMBVR,SMDDR,2707
4818,SMBVR,SMDVL,589
4819,SMBVR,URAVR,77
